Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
20-Jan-2023,"INR 32,026,455",365.0,Manohar Lal Sharma,02-Feb-2023 11:44 AM,AOC.pdf (385.00 KB),Work Awarded,EE,Internal,SupdtDHDDAOEE,Deepak Kapil,24-Jun-2022 03:49 PM,finsummary_91074.pdf (107.51 KB),EE,Internal,supdtDHDDAOAE,Deepak Kapil,06-Jun-2022 05:10 PM,07-Jun-2022 11:00 AM,techsummary_91074.pdf (512.48 KB),PWD,2022_PWD_60262_1,ScienceblockatGDCGHU,ScienceBlockAtGDCGHU,Technical,Tech.evaluation,Deepak Kapil,06-Jun-2022 05:08 PM,technical_91074.pdf,1.0,281809.0,Manohar Lal,12-May-2022 09:36 AM,Rejected-Technical,work done detail not CS and orginal documents not submitted,06-Jun-2022 05:10 PM,1.0,281269.0,Rattan Lal Sharma,INR,"32,026,455",Finance,finevlauation,Deepak Kapil,24-Jun-2022 03:45 PM,finance_91074.pdf,BOQ Comparative Chart,AOC,"3,41,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,03-May-2022 03:00 PM,12-May-2022 11:00 AM,03-May-2022 03:00 PM,12-May-2022 10:00 AM,03-May-2022 03:00 PM ,12-May-2022 10:00 AM ,03-May-2022 03:00 PM,12-May-2022 10:00 AM,07-Jun-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and EM (Proforma of Schedules),ScienceBlockAtGDCGHU,buildingworks,Please refer Tender documents. ,NA ,"3,08,63,603",Civil Works,NA ,Tender,75.0,365.0,Ghumarwin,174021.0,EE GHU Dvin HPPWD GHU ,EE GHU Dvin HPPWD GHU ,10-May-2022 11:00 AM ,EE GHU Dvin HPPWD GHU,No ,No,1,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,1.0,Correction in unit,Other,,PWD,ScienceblockatGDCGHU,2022_PWD_60262_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,Yes,EE GHU Dvin HPPWD GHU,EE GHU Dvin HPPWD GHU,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,281271.0,M/S SUKHDEV SHARMA CONTRACTOR,11-May-2022 07:10 PM,Rejected-Finance,Being L-2 the EMD is released,24-Jun-2022 03:49 PM,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Contr Registration,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,281269.0,Rattan Lal Sharma,11-May-2022 09:28 PM,Accepted-AOC,Work Awarded to the contractor,02-Feb-2023 11:45 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"GST No with up to date filled return ,Pan No. and EPF No(General Rules No.21)",,,,,,,,,,,,,,,,,,,3,Certificate Details ,Partnership Deed ,Partnership Deed ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Work Done for last 05years and work in Hand and similar work done Certi dully signed by concerned,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plants and Laboratory Equipment etc. (as shown in Schedule-F with reference",,,,,,,,,,,,,,,,,,,5,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"Form 7, 8 dully signed by Contractor with seal (Refer schedule A to F)",,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Annual Financial Turnover for at least Five years dully verified/checked by the Charted-Accountant,,,,,,,,,,,,,,,,,,,7,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Original documents before scheduled time of opening time of technical bids,,,,,,,,,,,,,,,,,,,8,Financial Details ,Bankers Details ,Bankers Details ,HP_BankersDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,All GCC will be applicable,,,,,,,,,,,,,,,,,,,9,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the state in proforma of schedule BOQ,,,,,,,,,,,,,,,,,,,10,Financial Details ,Access of Credit Facility issued by Bankers ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,11,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Machinery Details ,Machinery Lease/Hire agreement copy ,Machinery Lease/Hire agreement copy ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Man Power Details ,Details of Technical Manpower-Other Schemes ,Details of Technical Manpower-Other Schemes ,HP_TechnicalManPower_OtherSchemes.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Man Power Details ,Affidavit Details ,Affidavit Details ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Miscellaneous ,Miscellaneous Docs ,Miscellaneous Docs ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Work Details ,Existing Commitments ,Existing Commitments Details ,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Work Details ,Works for which Bids submitted ,Works for which Bids submitted Details ,HP_BidsAlreadySubmitted.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Work Details ,Quantity of Work Done ,Quantity of Work Done Details ,HP_QuantityWorkDone.xls,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Work Details ,Principle place of Business ,Principle place of Business Details ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
