Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
03-Feb-2023,"INR 1,028,467.86",61.0,Suresh Kumar Dhiman,03-Feb-2023 03:12 PM,63935-1.pdf (390.00 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,08-Sep-2022 06:33 PM,finsummary_96322.pdf (277.98 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,01-Sep-2022 04:59 PM,01-Sep-2022 05:00 PM,techsummary_96322.pdf (653.64 KB),PWD,2022_PWD_63935_1,MDII,RRD on Gokhara Lot Khajroun road km 0/0 to 6/0,1.0,297825.0,MUNSHI RAM,INR,"1,028,467.86",Finance,Summary,Suresh Kumar Dhiman,08-Sep-2022 06:28 PM,finance_96322.pdf,BOQ Comparative Chart,Technical,Summary,Suresh Kumar Dhiman,01-Sep-2022 04:58 PM,technical_96322.pdf,1.0,298149.0,HARISH KUMAR,29-Aug-2022 03:34 PM,Rejected-Technical,NON Responsive,01-Sep-2022 04:59 PM,AOC,RRD on Gokhara Lot Khajroun road km 0/0 to 6/0,C/O wire crate R/walls at RD 0/010 to 0/025,Please refer Tender documents. ,NA ,"9,97,544",Civil Works,NA ,Tender,75.0,61.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,350.0,Nil,Nil,Yes,"20,000",Yes,fixed,,Nil,Nil,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F), Earnest money",PWD,MDII,2022_PWD_63935_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,22-Aug-2022 06:15 PM,30-Aug-2022 06:15 PM,22-Aug-2022 06:15 PM,29-Aug-2022 05:00 PM,NA ,NA ,22-Aug-2022 06:15 PM,29-Aug-2022 05:00 PM,01-Sep-2022 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,297922.0,Khajan Singh,27-Aug-2022 07:00 PM,Rejected-Technical,NON Responsive,01-Sep-2022 04:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,297828.0,KHUB RAM,29-Aug-2022 01:17 PM,Rejected-Technical,NON Responsive,01-Sep-2022 04:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN Card ,GST(General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,297825.0,MUNSHI RAM,28-Aug-2022 09:16 PM,Accepted-AOC,1,03-Feb-2023 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,297831.0,VIJAY KUMAR,29-Aug-2022 01:14 PM,Rejected-Finance,2,08-Sep-2022 06:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
