Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Summary,Kulbir Singh Thakur,29-Mar-2022 01:17 PM,technical_88093.pdf,1.0,273130.0,Anand Enterprises,26-Mar-2022 04:53 PM,Rejected-Finance,Being L2,29-Mar-2022 04:48 PM,1.0,272921.0,Royaal Sales,INR,"4,377,447",Finance,Financial bid opening summary,Kulbir Singh Thakur,29-Mar-2022 04:39 PM,finance_88093.pdf,BOQ Comparative Chart,Er Kulbir Singh Thakur EE,Internal,"Ms Akriti Aggarwal DAO, Sh Ghanshyam Mehta HDM, Sh Rajinder Singh Supdt GrII, Smt Samriti Verma TA",Kulbir Singh Thakur,29-Mar-2022 04:48 PM,finsummary_88093.pdf (455.35 KB),31-Mar-2022,"INR 4,377,447",270.0,Kulbir Singh Thakur,16-Feb-2023 03:58 PM,LOAcharabara.pdf (707.00 KB),LOA,PWD,2022_PWD_58275_2,6938-7054 dated 17.03.2022,C/O Entry Gate on NH-22(New NH05) on Kalka-Shimla Wangtoo road near Chharabara between Km 154/980 to 155/300 ( Against Smart City),Er Kulbir Singh Thakur EE,Internal,"Ms Akriti Aggarwal DAO, Sh Ghanshyam Mehta HDM, Sh Rajender Singh Supdt GRII, Smt Samriti Verma TA",Kulbir Singh Thakur,29-Mar-2022 01:23 PM,29-Mar-2022 01:30 PM,techsummary_88093.pdf (1223.07 KB),AOC,"2,000",Executive Engineer NH Division HPPWD Solan,Solan,No,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money,19-Mar-2022 05:00 PM,28-Mar-2022 11:00 AM,19-Mar-2022 05:00 PM,28-Mar-2022 10:30 AM,NA ,NA ,19-Mar-2022 05:00 PM,28-Mar-2022 10:30 AM,29-Mar-2022 01:30 PM,C/O Entry Gate on NH-22(New NH05) on Kalka-Shimla Wangtoo road near Chharabara between Km 154/980 to 155/300 ( Against Smart City),C/O Entry Gate on NH-22(New NH05) on Kalka-Shimla Wangtoo road near Chharabara between Km 154/980 to 155/300 ( Against Smart City),As per tender document ,NA ,"44,60,478",Civil Works - Others,NA ,Tender,120.0,270.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,6938-7054 dated 17.03.2022,2022_PWD_58275_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"89,500",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,AOC
,,,,,2.0,272921.0,Royaal Sales,26-Mar-2022 04:37 PM,Accepted-AOC,L1,16-Feb-2023 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,BG - Bank Guarantee,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,EPF number,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,GST / sales tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,"list of machinery, tools and plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Form of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit regarding correctness of all the documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit regarding gazetted and non-gazetted employees in HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,work done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
