Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",EE HPPWD KARSOG,KARSOG,No,1.0,DD - Demand Draft,EE HPPWD KARSOG,EE HPPWD KARSOG,"69,100",No,fixed,,EE HPPWD KARSOG,KARSOG,PWD,PW KSG E TENDER 21-22 11186-90,2022_PWD_58460_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Periodical Maintenance on Chamunallah Bagshair Road VR No HP0806 VR001329201 Chamanpur Sihani road VR No HP0806 VR0015529301 (SH Providing and laying 30mm bituminious concrete,thermoplastic paint in Km 0/00 to 1/00and","Periodical Maintenance on Chamunallah Bagshair Road VR No HP0806 VR001329201 Chamanpur Sihani road VR No HP0806 VR0015529301 (SH Providing and laying 30mm bituminious concrete,thermoplastic paint in Km 0/00 to 1/00and",Please refer Tender documents. ,NA ,"34,50,441",Civil Works - Roads,NA ,Tender,90.0,90.0,CHURAG,175010.0,NA ,NA ,NA ,EE HPPWD KARSOG,No ,No,24-Mar-2022 09:00 AM,29-Mar-2022 12:00 PM,24-Mar-2022 09:00 AM,29-Mar-2022 10:00 AM,NA ,NA ,24-Mar-2022 09:00 AM,29-Mar-2022 10:00 AM,02-Apr-2022 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,cost of tender form GR.26.1,AOC,1.0,273613.0,SURESH SHARMA GOVT CONTRACTOR,INR,"3,621,926.9",Finance,Attached.,Arvind Kumar Bhardwaj,10-Apr-2022 04:46 PM,finance_88424.pdf,BOQ Comparative Chart,1.0,273611.0,PUNEET GOVT CONT,28-Mar-2022 10:30 PM,Rejected-Finance,Found L-II,06-Feb-2023 04:43 PM,Technical,submitted,Arvind Kumar Bhardwaj,29-Mar-2022 06:46 PM,technical_88424.pdf,PWD,2022_PWD_58460_6,PW KSG E TENDER 21-22 11186-90,"Periodical Maintenance on Chamunallah Bagshair Road VR No HP0806 VR001329201 Chamanpur Sihani road VR No HP0806 VR0015529301 (SH Providing and laying 30mm bituminious concrete,thermoplastic paint in Km 0/00 to 1/00and",Arvind Kumar Bhardwaj,Internal,attached,Arvind Kumar Bhardwaj,02-Apr-2022 01:11 PM,02-Apr-2022 02:00 PM,techsummary_88424.pdf (496.25 KB),Arvind Kumar Bhardwaj,Internal,Attached,Arvind Kumar Bhardwaj,06-Feb-2023 04:43 PM,finsummary_88424.pdf (181.88 KB),06-Feb-2023,"INR 3,621,926.9",90.0,Arvind Kumar Bhardwaj,06-Feb-2023 04:51 PM,PMchamunallahBagsaidAWARDletter.pdf (608.00 KB),Award letter,AOC
,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Gr 26.2,AOC,,,,,,,,,,,,2.0,273613.0,SURESH SHARMA GOVT CONTRACTOR,28-Mar-2022 10:33 PM,Accepted-AOC,bidder found L-I,06-Feb-2023 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration copy GR 26.3,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST AND PAN CARD Regisistation g.r. rule 26.4,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tools plants GR 26.6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF miscellaneous provision gr rule25a,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,report of charter Accountant 28.2q,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done gr 28.2b,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD form 8 duly signed by the contractor,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
