Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
15-Feb-2023,"INR 1,391,309",60.0,Jeet Singh Thakur,15-Feb-2023 01:25 PM,7359.pdf (1332.00 KB),Construction of office Building for Doppler Weather Radar at Jot,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,16-Jul-2022 08:05 PM,finsummary_93222.pdf (128.14 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,25-Jun-2022 06:23 PM,27-Jun-2022 11:30 AM,techsummary_93222.pdf (227.83 KB),PWD,2022_PWD_61773_5,No. PWC-WA- 3782-3881 dt 6.6.22,Construction of office Building for Doppler Weather Radar at Jot,Technical,BOS,Jeet Singh Thakur,25-Jun-2022 06:22 PM,technical_93222.pdf,1.0,287858.0,Darshan Kumar,22-Jun-2022 09:06 AM,Accepted-AOC,work completed,15-Feb-2023 01:25 PM,Finance,BOS,Jeet Singh Thakur,16-Jul-2022 07:56 PM,finance_93222.pdf,BOQ Comparative Chart,1.0,287858.0,Darshan Kumar,INR,"1,242,257",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,500.0,Nil,Nil,No,16-Jun-2022 03:00 PM,24-Jun-2022 11:30 AM,16-Jun-2022 03:00 PM,23-Jun-2022 05:00 PM,NA ,NA ,16-Jun-2022 03:00 PM,23-Jun-2022 05:00 PM,27-Jun-2022 11:30 AM,"27,830",No,fixed,,Nil,Nil,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,ICICI BANK,PWD,No. PWC-WA- 3782-3881 dt 6.6.22,2022_PWD_61773_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of office Building for Doppler Weather Radar at Jot,Construction of office Building for Doppler Weather Radar at Jot,Please refer Tender documents. ,NA ,"13,91,309",Civil Works - Buildings,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,288062.0,DHEERAJ PURI,23-Jun-2022 01:05 PM,Rejected-Finance,3rd lowest,16-Jul-2022 08:05 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,288054.0,Tilak Raj,23-Jun-2022 12:28 PM,Rejected-Finance,2nd lowest,16-Jul-2022 08:05 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of ongoing work/Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,HP.PWD form -7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
