S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage
1.0,ICICI BANK,15-Nov-2021 05:00 PM,23-Nov-2021 11:30 AM,15-Nov-2021 05:00 PM,22-Nov-2021 05:00 PM,NA ,NA ,15-Nov-2021 05:00 PM,22-Nov-2021 05:00 PM,14-Dec-2021 03:30 PM,PWD,Elect. Division HPPWD Palampur,2021_PWD_53577_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Elect. Division HPPWD Palampur,1.0,Fee/PreQual/Technical,.pdf,receipt of online payment towards the cost of bid documents and Earnest Money Deposited (EMD),"2,000",Nil,Nil,No,"89,600",No,fixed,,Nil,Nil,"C/O New Model Degree College building at Lylh Kothi in Tehsil and Distt. Chamba, HP (SH- Providing E.I. therein)","C/O New Model Degree College building at Lylh Kothi in Tehsil and Distt. Chamba, HP (SH- Providing E.I. therein)",Please refer Tender documents. ,NA ,"57,00,763",Electrical Works,NA ,Tender,120.0,730.0,Lylh Kothi in Distt. Chamba,176061.0,NA ,NA ,NA ,Palampur,No ,No,AOC,1.0,243868.0,Deepak Sood,22-Nov-2021 07:36 AM,Rejected-AOC,not lowest,08-Feb-2023 01:48 PM,Technical,as per uploaded document,Dalip singh Patial,14-Dec-2021 02:47 PM,technical_80148.pdf,Finance,as per uploaded document,Dalip singh Patial,05-Feb-2022 04:04 PM,finance_80148.pdf,BOQ Comparative Chart,PWD,2021_PWD_53577_1,Elect. Division HPPWD Palampur,"C/O New Model Degree College building at Lylh Kothi in Tehsil and Distt. Chamba, HP (SH- Providing E.I. therein)",Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM and approved by the S.E. 2nd Electrical Circle HPPWD Dharamshala,Dalip singh Patial,14-Dec-2021 02:50 PM,14-Dec-2021 03:30 PM,techsummary_80148.pdf (322.19 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,243893.0,JAMWAL ELECTRICAL WORKS,22-Nov-2021 10:07 AM,Rejected-AOC,not lowest,08-Feb-2023 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,243545.0,Malhotra Associates,20-Nov-2021 04:07 PM,Accepted-AOC,L1,08-Feb-2023 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity (equal to estimated cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate (minimum one work done not less than 40 percent of the estimated cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 from GCC printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
