Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Kulbir Singh Thakur EE,Internal,"Ms Akriti Aggarwal DAO, Sh Ghanshyam Mehta HDM, Sh Rajinder Singh Supdt GrII, Smt Samriti VErma TA",Kulbir Singh Thakur,24-Mar-2022 11:57 AM,finsummary_87363.pdf (473.83 KB),29-Mar-2022,"INR 10,000,753",270.0,Kulbir Singh Thakur,16-Feb-2023 04:12 PM,omprakashjob1.pdf (498.00 KB),LOA,PWD,2022_PWD_57853_1,6576-99 dated 08.03.2022,C/O Steel Footpath on Shimla By pass road on NH-22 (New NH 05) at Km 1/505 to 1/660,"Er Kulbir Singh Thakur, EE NH Division, HPPWD Solan",Internal,"Miss Akriti Aggarwal AO, Sh Ghanshyam Mehta HDM SH Rajinder Singh Supdtt Gr II Smt Samriti Verma TA",Kulbir Singh Thakur,22-Mar-2022 10:46 AM,22-Mar-2022 11:00 AM,techsummary_87363.pdf (609.38 KB),Technical,bid opening summary,Kulbir Singh Thakur,22-Mar-2022 10:41 AM,technical_87363.pdf,1.0,270806.0,Om Parkash Sharma,18-Mar-2022 06:35 PM,Accepted-AOC,L1,16-Feb-2023 04:12 PM,1.0,270806.0,Om Parkash Sharma,INR,"10,000,753",Finance,Financial Bid opening summary,Kulbir Singh Thakur,24-Mar-2022 11:45 AM,finance_87363.pdf,BOQ Comparative Chart,AOC,11-Mar-2022 05:00 PM,19-Mar-2022 11:00 AM,11-Mar-2022 05:00 PM,19-Mar-2022 10:30 AM,NA ,NA ,11-Mar-2022 05:00 PM,19-Mar-2022 10:30 AM,22-Mar-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,C/O Steel Footpath on Shimla By pass road on NH-22 (New NH 05) at Km 1/505 to 1/660,C/O Steel footpath and providing and fixing Interlocking Paver block on Berms and construction of B/wall at RD 1/670 to 700 on Shimla By Pass (Against Smart City),As per tender document ,NA ,"1,00,18,931",Civil Works - Others,NA ,Tender,120.0,270.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,1.0,DD - Demand Draft,"2,00,500",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,PWD,6576-99 dated 08.03.2022,2022_PWD_57853_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,"5,000",Executive Engineer NH Division HPPWD Solan,Solan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270867.0,Sandeep Chandel,18-Mar-2022 09:13 PM,Rejected-Finance,Being L2,24-Mar-2022 11:57 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,contractor registration,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,EPF No.,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST / Sales Tax number,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"List of machinery, tools and plant",5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Form of bid,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit regarding correctness of all the documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit regarding gazetted and non gazetted employees in HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
