Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Tender for replacement of 46 Nos rotten wooden poles from existing 63KVA, 22/0.4 KV Sub-Station Mahog and 100KVA 22/0.4 KV Tikkri under Electrical Sub-Division HPSEBL Chhatri.","Tender for replacement of 46 Nos rotten wooden poles from existing 63KVA, 22/0.4 KV Sub-Station Mahog and 100KVA 22/0.4 KV Tikkri under Electrical Sub-Division HPSEBL Chhatri.",Please refer tender document  ,N/A ,"5,75,926",Supply and Erection,Electrical Work ,Tender,180.0,30.0,Chhatri,175014.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"1,180",Nil,Nil,No,1.0,ICICI BANK,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8037-43 Dated 24-01-2023,2023_HPSEB_67695_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,"14,398",No,fixed,,Nil,Nil,28-Jan-2023 05:00 PM,03-Feb-2023 12:30 PM,28-Jan-2023 05:05 PM,03-Feb-2023 10:30 AM,NA ,NA ,28-Jan-2023 05:05 PM,03-Feb-2023 10:30 AM,07-Feb-2023 12:50 PM,AOC,Finance,Financial bid opened by tender committee,Sushil Kumar,17-Feb-2023 11:23 AM,finance_102003.pdf,BOQ Comparative Chart,Technical,Fulfill all the techno-commercial condition as per bid document except one nos. of bidder,Sushil Kumar,07-Feb-2023 12:41 PM,technical_102003.pdf,17-Feb-2023,"INR 575,926",30.0,Sushil Kumar,17-Feb-2023 03:56 PM,130tikkri.pdf (1862.00 KB),Awarded to KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED because the price-bid was lowest 1 and found to be valid i.e. as per the terms and conditions mentioned in the tender document,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,07-Feb-2023 12:44 PM,07-Feb-2023 12:50 PM,techsummary_102003.pdf (466.11 KB),1.0,319711.0,ABS ENTERPRISES,02-Feb-2023 04:40 PM,Rejected-Finance,L4,17-Feb-2023 02:02 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,17-Feb-2023 02:02 PM,finsummary_102003.pdf (442.47 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_67695_1,184619/2022-23-8037-43 Dated 24-01-2023,"Tender for replacement of 46 Nos rotten wooden poles from existing 63KVA, 22/0.4 KV Sub-Station Mahog and 100KVA 22/0.4 KV Tikkri under Electrical Sub-Division HPSEBL Chhatri.",1.0,319813.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,INR,"431,944.5",AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,319813.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,03-Feb-2023 09:57 AM,Accepted-AOC,Awarded to KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED because the price-bid was lowest 1 and found to be valid i.e. as per the terms and conditions mentioned in the tender document.,17-Feb-2023 03:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,317617.0,Koyla Engineering Works,01-Feb-2023 07:25 PM,Rejected-Finance,L2,17-Feb-2023 02:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,317473.0,MK Electrical traders & contractor,01-Feb-2023 01:47 PM,Rejected-Finance,L6,17-Feb-2023 02:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,319681.0,M/S HARI OM CONSTRUCTION GROUP,02-Feb-2023 02:47 PM,Rejected-Finance,L7,17-Feb-2023 02:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,319665.0,NAROTAM RAM,02-Feb-2023 03:21 PM,Rejected-Finance,L5,17-Feb-2023 02:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,319838.0,Panna Lal,03-Feb-2023 10:29 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Feb-2023 12:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,319785.0,SUNEEL THAKUR ELECTRICAL,02-Feb-2023 09:29 PM,Rejected-Finance,L3,17-Feb-2023 02:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
