S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Tender Stage
1.0,292933.0,Navneet Sood,INR,"760,617",1,293675,A B Traders,30-Jul-2022 03:27 PM,Rejected-AOC,L9,26-Feb-2023 12:11 PM,XEN,Internal,DAO SUPDT HDM,Ravi Singh Rana,26-Feb-2023 12:09 PM,finsummary_94860.pdf (54.12 KB),26-Feb-2023,"INR 760,617",180.0,Ravi Singh Rana,26-Feb-2023 12:10 PM,2022_62899.pdf (1805.00 KB),AWARDED TO L1,Finance,Ten number bids were found uploaded on e-procurement site Nine were found in order accordingly opened for financial part today on dated 01.08.2022 in which Sh. Navneet Sood Electrical contractor was found L-1,Ravi Singh Rana,01-Aug-2022 01:11 PM,finance_94860.pdf,BOQ Comparative Chart,PWD,2022_PWD_62899_1,Electrical Div.No.I PWD Shimla 2457-62 dt.13.7.202,Renovation Additional Alteration of Camp office Building at US Club Shimla H.P SH Providing E.I. therein,XEN,Internal,DAO SUPDT HDM,Ravi Singh Rana,26-Feb-2023 12:05 PM,techsummary_94860.pdf (54.11 KB),AOC,"19,000",No,fixed,,E.E.Electrical Division No-I Shimla-9,Shimla-9,Renovation Additional Alteration of Camp office Building at US Club Shimla H.P SH Providing E.I. therein,Renovation Additional Alteration of Camp office Building at US Club Shimla H.P SH Providing E.I. therein,Please refer Tender documents. ,NA ,"9,45,745",Electrical Works,NA ,Tender,90.0,180.0,SHIMLA,171009.0,NA ,NA ,NA ,SHIMLA KASUMPTI -9,No ,No,PWD,Electrical Div.No.I PWD Shimla 2457-62 dt.13.7.202,2022_PWD_62899_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,22-Jul-2022 05:00 PM,01-Aug-2022 11:30 AM,22-Jul-2022 05:30 PM,30-Jul-2022 05:00 PM,NA ,NA ,22-Jul-2022 05:30 PM,30-Jul-2022 05:00 PM,350.0,E.E.Electrical Division No-I Shimla-9,Shimla-9,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of Tender in shape of DD,1.0,DD - Demand Draft,XEN Electrical Division No. 1 Shimla,The Executive Engineer Electrical Division No-1 HPPWD Shimla-9,AOC
,,,,,2,293568,CONTRACTOR,29-Jul-2022 02:38 PM,Rejected-AOC,L6,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in shape of FDR,2.0,FDR - Fixed Deposit,,,AOC
,,,,,3,293466,GOLD CUBE AUTOMATIONS AND ENERGY,28-Jul-2022 10:25 PM,Rejected-AOC,L4,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN Registration,,,,,AOC
,,,,,4,292933,Navneet Sood,28-Jul-2022 04:43 PM,Accepted-AOC,L1,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid electrical enlistment issued from competent authority,,,,,AOC
,,,,,5,293390,Rakesh Sharma,28-Jul-2022 04:33 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Documents not received,01-Aug-2022 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of undertaking/ Declaration by the Contractor,,,,,AOC
,,,,,6,293357,Ritesh Verma,28-Jul-2022 03:36 PM,Rejected-AOC,L2,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,SCHEDULE OF QUANTITY BOQ,,,,,AOC
,,,,,7,293650,SUDESH KUMARI,30-Jul-2022 02:54 PM,Rejected-AOC,L3,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,STANDARD BIDDING DOCUMENT SBD Form-8,,,,,AOC
,,,,,8,293654,Taran Enterprises,30-Jul-2022 02:30 PM,Rejected-AOC,L8,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,9,293611,Yog Raj,29-Jul-2022 07:51 PM,Rejected-AOC,L5,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,10,293622,ZISHAN SHEIKH,30-Jul-2022 01:28 AM,Rejected-AOC,L7,26-Feb-2023 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
