Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,11-Oct-2022 11:43 AM,finance_97641.pdf,BOQ Comparative Chart,1.0,304167.0,M/S CHAUHAN CONSTRUCTION,INR,"63,203,234.5",Technical,Bid Opening Summary,Kishan Lal Chaudhary,03-Oct-2022 01:35 PM,technical_97641.pdf,1.0,304167.0,M/S CHAUHAN CONSTRUCTION,28-Sep-2022 07:43 PM,Accepted-AOC,L-1,08-Feb-2023 02:41 PM,Er. K. L. Chaudhary,Internal,"Er. P. K. Upreti EE Shillai, Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,11-Oct-2022 11:47 AM,finsummary_97641.pdf (393.64 KB),08-Feb-2023,"INR 90,290,335",540.0,Dalip Singh Tomar,08-Feb-2023 02:39 PM,aocs.pdf (528.00 KB),AOC,PWD,2022_PWD_64904_1,Tender/Corrig-11025-11124dated 12.09.2022,C/o Rajpur Kulthina road km. 0/0 to 6/405,Er. K. L. Chaudhary,Internal,"Er. P. k. Upreti EE Shillai, Sh. Vishal Upadhyay DAO, Sh.S. K. Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,03-Oct-2022 01:38 PM,03-Oct-2022 02:30 PM,techsummary_97641.pdf (1447.82 KB),AOC,"18,05,810",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,1.0,Date corrigendum2,Date,,1.0,Fee/PreQual/Technical,.pdf,Earnest money and cost of form online,1.0,ICICI BANK,C/o Rajpur Kulthina road km. 0/0 to 6/405,"(SH-C/o 5/7 mtrs wide road i/e cross drainage works, P/L GSB,G-II, G-III, tarring, side drain, C/o parapets and providing road signage etc. in Km. 0/0 to 6/405(Under NABARD RiDF-XXVII)",Please refer tender document ,NA ,"9,02,90,335",Civil Works - Roads,NA ,Tender,75.0,540.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,15-Sep-2022 04:30 PM,30-Sep-2022 11:00 AM,15-Sep-2022 05:00 PM,29-Sep-2022 05:00 PM,NA ,NA ,15-Sep-2022 05:00 PM,29-Sep-2022 05:00 PM,03-Oct-2022 02:30 PM,PWD,Tender/Corrig-11025-11124dated 12.09.2022,2022_PWD_64904_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HPPWD Division Shillai District Sirmour (HP),AOC
,,,,,,,,,,,,,,,,2.0,303758.0,Ranjeet Singh,28-Sep-2022 04:49 AM,Rejected-Finance,L3,11-Oct-2022 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors registrations,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,303273.0,Shanti Flats Foundation PVT LTD,27-Sep-2022 10:18 AM,Rejected-Finance,L2,11-Oct-2022 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Copies of original documents as per Contract Clause 4.2(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,303769.0,Shivalik Infraventures (P) Ltd.,29-Sep-2022 11:55 AM,Rejected-Finance,L4,11-Oct-2022 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Total monitor value of Civil Const. works as per clause 4.2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Experience in works of similar nature as per Clause 4.2(c) and 4.4A(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,evidence of owner ship of major items named in 4.2(d) with clause 4.4 B(b)(I) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,detail of Tech. personnel proposed to be employed for the Contract defined in clause 4.4B(b) (ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,financial profit and loss statements and auditor report for five yr as per per Clause 4.2(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Credit and other financial resources as per Clause 4.2(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Authority to seek references as per Clause 4.2 (h) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
