Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,20-Oct-2022 12:14 PM,finsummary_99447.pdf (329.56 KB),13-Feb-2023,"INR 584,908",30.0,Vinod Kanwar,13-Feb-2023 04:13 PM,A.O.C..pdf (845.00 KB),Award Letter,PWD,2022_PWD_66084_1,BSP/2022/21 REPAIR OF LINK ROAD SURAL SATH SATHWIN,BSP/2022/21 REPAIR OF LINK ROAD SURAL SATH SATHWIN HAND PUMP TOWARDS TIYALA SIDE KM. 0/00 TO 1/00,Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,17-Oct-2022 05:10 PM,18-Oct-2022 02:00 PM,techsummary_99447.pdf (1001.15 KB),Technical,Bid Open Summary,Dev Raj,17-Oct-2022 05:09 PM,technical_99447.pdf,1.0,308397.0,ASHWANI KUMAR,13-Oct-2022 07:49 PM,Accepted-AOC,L1,13-Feb-2023 04:14 PM,1.0,308397.0,ASHWANI KUMAR,INR,"584,907.76",Finance,FIN BID SUMMARY,Dev Raj,20-Oct-2022 12:12 PM,finance_99447.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,350.0,Nil,Nil,No,"12,900",No,fixed,,Nil,Nil,BSP/2022/21 REPAIR OF LINK ROAD SURAL SATH SATHWIN HAND PUMP TOWARDS TIYALA SIDE KM. 0/00 TO 1/00,P/L CEMENT CONCRETE PAVEMENT FROM RD. 0/400 TO 0/860) (DEPOSIT WORK).,Please refer Tender documents. ,NA ,"6,42,756",Civil Works - Roads,NA ,Tender,60.0,30.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,Executive Engineer,EXECUTIVE ENGINEER BARSAR DIVISION HPPWD BARSAR,PWD,BSP/2022/21 REPAIR OF LINK ROAD SURAL SATH SATHWIN,2022_PWD_66084_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,07-Oct-2022 10:30 AM,14-Oct-2022 11:30 AM,07-Oct-2022 10:30 AM,14-Oct-2022 10:30 AM,NA ,NA ,07-Oct-2022 10:30 AM,14-Oct-2022 10:30 AM,18-Oct-2022 02:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,308406.0,shashi kant,13-Oct-2022 07:44 PM,Rejected-Finance,L1L2,20-Oct-2022 12:14 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,11. Bidder must upload the working programme,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Any other information bidder/ firm may like to be provide.,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
