Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,15-Oct-2022 12:16 PM,finsummary_98138.pdf (202.79 KB),27-Jan-2023,"INR 997,968",60.0,Vijay Kumar Verma,15-Feb-2023 04:34 PM,Award.pdf (561.00 KB),Award,PWD,2022_PWD_65196_1,Play Ground of Govt. Sr. Sec. School Sari Molag,Play Ground of Govt. Sr. Sec. School Sari Molag Teh Jaisinghpur (Chief Minister Sports Development),Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,30-Sep-2022 04:44 PM,01-Oct-2022 11:30 AM,techsummary_98138.pdf (253.32 KB),Technical,Summary,R.K Dhiman,30-Sep-2022 04:42 PM,technical_98138.pdf,1.0,303291.0,AJAY KUMAR,24-Sep-2022 04:30 PM,Rejected-Technical,Non Responsive,30-Sep-2022 04:44 PM,1.0,303515.0,Rajinder Kumar Govt.Contractor,INR,"775,520",Finance,Summary,R.K Dhiman,15-Oct-2022 12:13 PM,finance_98138.pdf,BOQ Comparative Chart,AOC,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,Play Ground of Govt. Sr. Sec. School Sari Molag Teh Jaisinghpur (Chief Minister Sports Development),C/o Basket Ball Ground,Please refer Tender documents. ,NA ,"9,97,968",Civil Works - Others,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur",19-Sep-2022 05:00 PM,26-Sep-2022 11:00 AM,19-Sep-2022 05:00 PM,24-Sep-2022 05:00 PM,NA ,NA ,19-Sep-2022 05:00 PM,24-Sep-2022 05:00 PM,01-Oct-2022 11:30 AM,1.0,ICICI BANK,"20,000",No,fixed,,Nil,Nil,PWD,Play Ground of Govt. Sr. Sec. School Sari Molag,2022_PWD_65196_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,303226.0,chander pal rihal,23-Sep-2022 02:38 PM,Rejected-Finance,Rejected due to higher rates bidder L2,15-Oct-2022 12:16 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,303069.0,Kulbir Jaggi Govt. Cont.,23-Sep-2022 03:03 PM,Rejected-Finance,Rejected due to higher rates bidder L3,15-Oct-2022 12:16 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,303515.0,Rajinder Kumar Govt.Contractor,24-Sep-2022 02:04 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,15-Feb-2023 04:34 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,303573.0,VIJAY THAKUR,24-Sep-2022 02:01 PM,Rejected-Technical,Non Responsive,30-Sep-2022 04:44 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
