Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Periodical Maintenance on Jogipanga Balh Chhaproh Busal road ( VR Code-HP1201VR004651109, 109 and 110)",P/L 30mm thick Bituminious Concrete including profile correction in Km 5/900 to 7/000,Please refer Tender documents. ,NA ,"10,55,820",Civil Works - Roads,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,Corrigendum,Date,,PWD,No.BGN/2020-21-15331-60 dated 10.03.2022Job15,2022_PWD_58136_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"21,200",Yes,fixed,,Nil,Nil,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),17-Mar-2022 11:00 AM,05-Apr-2022 11:00 AM,17-Mar-2022 11:30 AM,04-Apr-2022 06:00 PM,NA ,NA ,17-Mar-2022 11:30 AM,04-Apr-2022 06:00 PM,08-Apr-2022 10:30 AM,500.0,Nil,Nil,No,AOC,1.0,274817.0,Shiv Kumar Govt Contractor,INR,"1,370,198",Finance,Fin bid opened,SHASHI PAL,12-Apr-2022 03:16 PM,finance_87778.pdf,BOQ Comparative Chart,1.0,273196.0,ganesh,02-Apr-2022 02:51 PM,Rejected-Finance,Not L-1,12-Apr-2022 03:19 PM,Technical,Tech bid opened,SHASHI PAL,07-Apr-2022 06:31 PM,technical_87778.pdf,PWD,2022_PWD_58136_1,No.BGN/2020-21-15331-60 dated 10.03.2022Job15,"Periodical Maintenance on Jogipanga Balh Chhaproh Busal road ( VR Code-HP1201VR004651109, 109 and 110)",Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,07-Apr-2022 06:32 PM,08-Apr-2022 10:30 AM,techsummary_87778.pdf (520.14 KB),Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,12-Apr-2022 03:19 PM,finsummary_87778.pdf (537.81 KB),25-Apr-2022,"INR 1,370,198",60.0,Dev Raj,13-Feb-2023 02:25 PM,58136.pdf (1033.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,274817.0,Shiv Kumar Govt Contractor,04-Apr-2022 12:43 PM,Accepted-AOC,L1,13-Feb-2023 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
