Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,EVE,Joginder Kumar,25-Mar-2022 07:27 PM,technical_87563.pdf,1.0,271595.0,Manesh Mehta,21-Mar-2022 10:23 PM,Rejected-Finance,L2,13-Sep-2022 03:17 PM,Finance,SUMMARY,Joginder Kumar,13-Sep-2022 03:16 PM,finance_87563.pdf,BOQ Comparative Chart,1.0,270904.0,Rahul Thakur,INR,"6,945,450.52",26-Dec-2022,"INR 6,946,839.89",60.0,Joginder Kumar,27-Feb-2023 12:47 PM,31-32.pdf (439.00 KB),AOC,EE,Internal,SUPDT AR HDM SR ASSTT,Joginder Kumar,13-Sep-2022 03:17 PM,finsummary_87563.pdf (188.23 KB),EE,Internal,SR ASSTT DB SUPDT,Joginder Kumar,25-Mar-2022 07:30 PM,26-Mar-2022 11:30 AM,techsummary_87563.pdf (2377.88 KB),PWD,2022_PWD_57985_2,AMP TISSA,Annual maintenance of Chamba Tissa road KM 5/0 to 32/250 under AMP 2022-23,AOC,Annual maintenance of Chamba Tissa road KM 5/0 to 32/250 under AMP 2022-23,"P/L 30mm Thick Bituminous concrete in KM 18/0 to 19/0, 21/0 to 22/0 and 31//0 to 32/250",Please refer Tender documents. ,NA ,"69,46,840",Civil Works - Roads,NA ,Tender,75.0,60.0,TISSA,176316.0,NA ,NA ,NA ,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,No ,No,15-Mar-2022 09:00 AM,22-Mar-2022 11:30 AM,15-Mar-2022 09:00 AM,22-Mar-2022 11:00 AM,NA ,NA ,15-Mar-2022 09:00 AM,22-Mar-2022 11:00 AM,26-Mar-2022 11:30 AM,PWD,AMP TISSA,2022_PWD_57985_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,39,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM THROUGH ONLINE,1.0,ICICI BANK,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,"2,000",Nil,Nil,No,AOC
,,,,,2.0,270904.0,Rahul Thakur,21-Mar-2022 04:23 PM,Accepted-AOC,L1,27-Feb-2023 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID SECURITY THROUGH ONLINE,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LATEST REGISTRATION,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN AND GST,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM 7 AND 8 DULY SIGNED BY THE CONTRACTOR,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AN AFFIDAVIT REGARDING NOT HAVING TWO WORK IN HAND AND ALL BID INFORMATION ARE CORRECT,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"DOCUMENTARY PROOF OF HOT MIXTURE PLANT, PAVER FINISHER, ROAD ROLLER, TIPPER ETC",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE LAST FIVE YEAR,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DETAIL OF STAFF,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FINANCIAL TURN OVER LAST 5 YEAR,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
