Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
Providing Re wiring and LED Fixtures in Sarojni Hostel Govt.Polytechnic Kandaghat Distt. Solan.,Providing Re wiring and LED Fixtures in Sarojni Hostel Govt.Polytechnic Kandaghat Distt. Solan.,Please refer Tender documents. ,NA ,"16,44,272",Electrical Works,NA ,Tender,90.0,270.0,SHIMLA,171009.0,NA ,NA ,NA ,SHIMLA KASUMPTI -9,No ,No,500.0,E.E.Electrical Division No-I Shimla-9,Shimla-9.,No,29-Apr-2022 09:00 AM,09-May-2022 11:30 AM,29-Apr-2022 09:15 AM,07-May-2022 05:00 PM,NA ,NA ,29-Apr-2022 09:15 AM,07-May-2022 05:00 PM,PWD,Electrical Div. No.-I PWD Shimla 261-66 dt.24.4.20,2022_PWD_60070_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of Tender in shape of DD,"32,900",No,fixed,,E.E.Electrical Division No-I Shimla-9,Shimla-9.,XEX Electrical division No. 1 shimla,The Executive Engineer Electrical Division No-1 HPPWD Shimla-9,AOC,1.0,280949.0,Shyam Radio and Electrical,INR,"1,389,215",1,281013,Bhardwaj Electrical Co.,07-May-2022 03:03 PM,Rejected-AOC,L8,26-Feb-2023 08:42 AM,XEN,Internal,DAO SUPDT HDM,Ravi Singh Rana,26-Feb-2023 08:33 AM,techsummary_90807.pdf (40.18 KB),PWD,2022_PWD_60070_1,Electrical Div. No.-I PWD Shimla 261-66 dt.24.4.20,Providing Re wiring and LED Fixtures in Sarojni Hostel Govt.Polytechnic Kandaghat Distt. Solan.,Finance,Fifteen number bids were found uploaded on e-procurement only thirteen were found in order and qualified in TQC accordingly opened for financial part today on dated 09.05.2022 in which M/s Shyam Radio and Electrical contractor was found L-1,S. R Tomer,09-May-2022 01:11 PM,finance_90807.pdf,BOQ Comparative Chart,26-Feb-2023,"INR 1,389,215",270.0,Ravi Singh Rana,26-Feb-2023 08:41 AM,2022_60070.pdf (838.00 KB),AWARDED TO L1,XEN,Internal,DAO SUPDT HDM,Ravi Singh Rana,26-Feb-2023 08:40 AM,finsummary_90807.pdf (40.18 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD in shape of FDR,,,,,,,,,AOC,,,,,,2,281085,CHANDEL ELECTRICAL ENGG WORKS,07-May-2022 01:43 PM,Rejected-AOC,L2,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN Registration,,,,,,,,,AOC,,,,,,3,281049,D.S Ranta Electrical Contractor,07-May-2022 11:09 AM,Rejected-AOC,L12,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid electrical enlistment issued from competent authority,,,,,,,,,AOC,,,,,,4,280864,GOLD CUBE AUTOMATIONS AND ENERGY,06-May-2022 09:26 PM,Rejected-AOC,L6,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of undertaking/DECLARATION By the CONTRACTOR,,,,,,,,,AOC,,,,,,5,281029,GURU NANAK ELECTRICALS,06-May-2022 09:39 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Enlistment not valid,09-May-2022 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,SCHEDULE OF QUANTITY BOQ,,,,,,,,,AOC,,,,,,6,281090,Haminder Pal,07-May-2022 02:29 PM,Rejected-AOC,L11,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,STANDARD BIDDING DOCUMENT SBD Form-8,,,,,,,,,AOC,,,,,,7,280769,Kalra Hardware and Electric Store,05-May-2022 04:26 PM,Rejected-AOC,L9,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,281139,Kumar Enterprises,07-May-2022 04:56 PM,Rejected-AOC,L10,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,281087,M/s Naresh Elecric Works,07-May-2022 02:30 PM,Rejected-AOC,L13,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,281005,Nand Ram,06-May-2022 05:55 PM,Rejected-AOC,L5,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,11,281071,Rakesh Kumar,07-May-2022 01:17 PM,Rejected-AOC,L3,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,12,280881,sai electricals,06-May-2022 08:24 AM,Rejected-AOC,L4,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,13,281132,Sharma and Company,07-May-2022 04:23 PM,Rejected-AOC,L7,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,14,280949,Shyam Radio and Electrical,06-May-2022 02:42 PM,Accepted-AOC,L1,26-Feb-2023 08:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,15,280246,vijan agencies,07-May-2022 03:45 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Documents not submitted,09-May-2022 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
