Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Sr. Executive Engineer II,Internal,Assistant Engineer,Suraj Pandey,14-Sep-2022 05:43 PM,15-Sep-2022 11:30 AM,techsummary_89026.pdf (218.47 KB),1.0,292218.0,Katyayani Industries,21-Jul-2022 11:51 AM,Rejected-Technical,Due to non submission of documents i.r.o. QR of NIT,14-Sep-2022 05:43 PM,08-Feb-2023,"INR 29,945,296.6",180.0,Suraj Pandey,08-Feb-2023 12:19 PM,awardsummarydischarge.pdf (275.00 KB),Award of Contract to Sun India Fire Safety system delhi at negotiated price for 1180 sets,Finance,Price bid opening summary,Suraj Pandey,15-Sep-2022 12:24 PM,finance_89026.pdf,BOQ Comparative Chart,Technical,Technical Opening Summary,Suraj Pandey,04-Aug-2022 02:24 PM,technical_89026.pdf,1.0,277500.0,SUN INDIA FIRE SAFETY SYSTEMS,INR,"29,945,296.6",HPSEBL,2022_HPSEB_58844_1,CE(MM)-08/2021,Procurement of Earthing/ Discharge Rod,sr. EE,Internal,assistant engineer and account officer,Suraj Pandey,08-Feb-2023 12:17 PM,finsummary_89026.pdf (274.67 KB),AOC,"Chief Engineer (MM), Shimla","Office of CE (MM), Vidyut Bhawan, Shimla",31-Mar-2022 10:45 AM,04-Aug-2022 11:30 AM,31-Mar-2022 10:45 AM,03-Aug-2022 12:00 PM,NA ,NA ,02-Apr-2022 10:00 AM,03-Aug-2022 12:00 PM,15-Sep-2022 11:30 AM,"1,40,982",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"1,180",Nil,Nil,No,Procurement of Earthing/ Discharge Rod,Procurement of 2008 sets Earthing/ Discharge Rod,As per NIT ,EMD for general bidders is Rs. 140982 and EMD for Registered local units is NIL ,"1,40,98,168",Electrical Work/ Equipment,NA ,Tender,120.0,180.0,"Office of CE (MM), Vidyut Bhawan, Shimla",171004.0,NA ,NA ,NA ,"Office of CE (MM), Vidyut Bhawan, Shimla",No ,No,1.0,Fee,.pdf,Proof of tender fee,1.0,Corrigendum No. -9,Date,,HPSEBL,CE(MM)-08/2021,2022_HPSEB_58844_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,AOC
,,,,,,,2.0,290252.0,kaushal Electricals,02-Aug-2022 11:46 AM,Rejected-Technical,Due to non submission of documents i.r.o. QR of NIT,14-Sep-2022 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,2.0,Corrigendum NO. 7,Technical Bid,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,293868.0,Sun Hi-Tech Solutions,01-Aug-2022 06:45 PM,Rejected-Technical,Sample was not approved by the committee,14-Sep-2022 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Renewed BIS certificate/Renewed ISO certificate,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,277500.0,SUN INDIA FIRE SAFETY SYSTEMS,20-Jul-2022 01:57 PM,Accepted-AOC,L-1 bidder,08-Feb-2023 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Purchase order/ Supply orders and performance certificate thereof,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and type test reports",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Capacity assessment and list of machinery,testing Equip, acceptance,routine tests to be carriedout",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration/ court cases and blacklisted/debarred by any Govt./ Semi Govt. Organization,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years, Undertaking regarding land border company.",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST reg. No., PAN No. a/w Income tax and GST clearance certificate",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney/ Board of resolution to sign the bid doc. and any other requisite Docs. as per NIT,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Reg. Certificate with Ind. Dept and Affidavit regarding channel partner from the manufacturer if any,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turn over duly certified by CA and acceptance to terms and conditions of NIT,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
