S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,259369.0,"Rakshak Securitas Pvt. Ltd.,",INR,"6,000,000",Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,2021_DMEHP_55158_1,SLBSGMCH/Ward Boy/Aaya (11)/2021,E TENDER FOR HIRING OF MANPOWER Ward Attendant/ Aaya ON OUTSOURCE BASIS AT SLBS GOVERNMENT MEDICAL COLLEGE HOSPITAL NER CHOWK DISTRICT MANDI HIMACHAL PRADESH,Principal,Internal,Joint Director Medical Superintendent ACF Section Officer Law Officer,Devi Chand Thakur,23-May-2022 02:48 PM,finsummary_82701.pdf (997.97 KB),27-May-2022,"INR 6,000,000",30.0,Devi Chand Thakur,04-Feb-2023 12:51 PM,AOC.pdf (605.00 KB),Award of Contract,Technical,Bid Summary,Munish Kumar,02-Feb-2022 12:06 PM,technical_82701.pdf,Finance,Tender ID 2021_DMEHP_55158_1 successfully opened on schedule date. Seven 07 bidders were qualified in this tender. All the bidders financial documents downloaded successfully.,Devi Chand Thakur,23-May-2022 12:39 PM,None,BOQ Comparative Chart,1,258929,ARMOUR SECURITY INDIA PVT. LTD.,27-Jan-2022 05:06 PM,Rejected-Technical,Specification not fulfill,29-Mar-2022 05:10 PM,Principal,Internal,Joint Director Medical Superintendent ACF Section Officer Law Officer,Praveen Kumar,29-Mar-2022 05:10 PM,30-Mar-2022 03:00 PM,techsummary_82701.pdf (1880.04 KB),AOC,Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,SLBSGMCH/Ward Boy/Aaya (11)/2021,2021_DMEHP_55158_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Offline,No,No,No,Principal,SLBSGMCH Mandi at Nerchowk,"5,00,000",Yes,fixed,,Principal SLBSGMCH Mandi at Nerchowk,at Nerchowk,"2,000",Principal SLBSGMCH Mandi at Nerchowk,at Nerchowk,Yes,1.0,DD - Demand Draft,29-Dec-2021 03:15 PM,31-Jan-2022 03:00 PM,29-Dec-2021 03:15 PM,31-Jan-2022 01:00 PM,NA ,NA ,11-Jan-2022 02:00 PM,31-Jan-2022 01:00 PM,30-Mar-2022 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Document,1.0,Admin Cancel Revocation Corrigendum,Admin Cancel Revocation Corrigendum,,E TENDER FOR HIRING OF MANPOWER Ward Attendant/ Aaya ON OUTSOURCE BASIS AT SLBS GOVERNMENT MEDICAL COLLEGE HOSPITAL NER CHOWK DISTRICT MANDI HIMACHAL PRADESH,E TENDER FOR HIRING OF MANPOWER Ward Attendant/ Aaya ON OUTSOURCE BASIS AT SLBS GOVERNMENT MEDICAL COLLEGE HOSPITAL NER CHOWK DISTRICT MANDI HIMACHAL PRADESH,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,30.0,SLBSGMCH Mandi at Nerchowk,175021.0,Administrative Block  ,SLBSGMCH Mandi at Nerchowk  ,06-Jan-2022 11:00 AM ,Administrative Block,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,259731,Corporate Care,30-Jan-2022 06:28 PM,Rejected-Finance,L-4,23-May-2022 02:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,2.0,Finance,.xls,Financial Bid,2.0,Tender Cancelled,Cancellation of Tender,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,258903,Frontline (NCR) Business Solutions Pvt Ltd,31-Jan-2022 12:26 PM,Rejected-Finance,L-3,23-May-2022 02:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,3.0,Amendment in technical specification,Technical Bid,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,259588,NUVISION COMMERCIAL & ESCORT SERVICES,29-Jan-2022 06:15 PM,Rejected-Finance,L-7,23-May-2022 02:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,259369,"Rakshak Securitas Pvt. Ltd.,",31-Jan-2022 12:45 PM,Accepted-AOC,L-1 Bidder,04-Feb-2023 12:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,259725,RK & CO,30-Jan-2022 07:39 PM,Rejected-Finance,L-6,23-May-2022 02:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,259272,Shimla Cleanways,29-Jan-2022 05:46 PM,Rejected-Finance,L-5,23-May-2022 02:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,258152,SUNRISE FACILITATORS PVT LTD,24-Jan-2022 05:08 PM,Rejected-Finance,L-2,23-May-2022 02:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,255755,UDHAS NATH BABA SERVICES PRIVATE LIMITED,19-Jan-2022 01:20 PM,Rejected-Technical,Specification not fulfill,29-Mar-2022 05:10 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,258073,vision security AND allied,24-Jan-2022 04:47 PM,Rejected-Technical,Specification not fulfill,29-Mar-2022 05:10 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
