Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,BOS,Rajeev Kumar,18-Nov-2021 02:35 PM,None,BOQ Comparative Chart,1.0,229826.0,sahab singh thakur,INR,"88,427,367",Technical,BOS,Rajeev Kumar,21-Aug-2021 05:57 PM,technical_75774.pdf,1.0,230053.0,MCC POWER PROJECTS PVT. LTD.,16-Aug-2021 08:37 AM,Rejected-Finance,Work awarded to Lowest Contractor,18-Nov-2021 03:09 PM,31-Dec-2021,"INR 88,427,367",730.0,Deepak Mahajan,24-Feb-2023 01:28 PM,AL.pdf (1484.00 KB),Award Letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,18-Nov-2021 03:09 PM,finsummary_75774.pdf (18.39 KB),Executive Engineer Salooni,Internal,Assistant Engineer Salooni HDM Salooni Superintendent Salooni and Senior Assistant Salooni Division HPPWD,Rajeev Kumar,21-Aug-2021 06:02 PM,26-Aug-2021 11:30 AM,techsummary_75774.pdf (1182.69 KB),PWD,2021_PWD_50683_1,EE Salooni Letter No. 3808-3857 dated 22.7.2021,"Construction of 50 Beded Civil Hospital at Salooni in Tehsil Salooni District Chamba HP Construction of building portion, providing water supply and sanitary Installation, Rain water harvesting system, Construction of septic tank",AOC,Executive Engineer Salooni Division HPPWD Salooni,Executive Engineer Salooni Division HPPWD Salooni,"Construction of 50 Beded Civil Hospital at Salooni in Tehsil Salooni District Chamba HP Construction of building portion, providing water supply and sanitary Installation, Rain water harvesting system, Construction of septic tank","Construction of 50 Beded Civil Hospital at Salooni in Tehsil Salooni District Chamba HP Construction of building portion, providing water supply and sanitary Installation, Rain water harvesting system, Construction of septic tank",Please refer Tender documents. ,NA ,"8,61,68,257",Civil Works,NA ,Tender,75.0,730.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,"5,000",Nil,Nil,No,"17,23,400",No,fixed,,Nil,Nil,02-Aug-2021 01:00 PM,16-Aug-2021 11:30 AM,02-Aug-2021 01:00 PM,16-Aug-2021 11:00 AM,NA ,NA ,02-Aug-2021 01:00 PM,16-Aug-2021 11:00 AM,26-Aug-2021 11:30 AM,PWD,EE Salooni Letter No. 3808-3857 dated 22.7.2021,2021_PWD_50683_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,AOC
,,,,,,,,,,,,,,,,2.0,229826.0,sahab singh thakur,15-Aug-2021 01:14 PM,Accepted-AOC,Work in progress,24-Feb-2023 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money from only online mode through E-payment,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 duly signed by the contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit information furnished with the bid (Name of works is correct in all respect),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Staff.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery, tools and plants (As per schedule F with reference to clause 18 of GCC).",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule 16),AOC
