Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,5323-48 dated 24.03.2022 BBRC RD7/0 to 10/0,2022_PWD_58767_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money indicate in Schedule F General Rule NO24.1,1.0,ICICI BANK,Executive Engineer B and R Division HPPWD Sarahan,EE Sarahan,"73,000",No,fixed,,Nil,Nil,Periodical renewal on Banethi Bagthan Rajgarh Chandol road Km7/0 to 10/0,"SH Providing Grade III, BC 30mm thick BM 50mm thick and thermoplastic compound etc",Please refer Tender documents. ,NA ,"43,58,060",Civil Works,NA ,Tender,90.0,90.0,Sarahan,173024.0,NA ,NA ,NA ,Sarahan,No ,No,28-Mar-2022 04:30 PM,05-Apr-2022 11:00 AM,28-Mar-2022 04:30 PM,05-Apr-2022 10:30 AM,NA ,NA ,28-Mar-2022 04:30 PM,05-Apr-2022 10:30 AM,12-Apr-2022 10:50 AM,AOC,Finance,Fin Bid Summary,Prem Dass,12-Apr-2022 11:18 AM,finance_88856.pdf,BOQ Comparative Chart,1.0,274407.0,S.S. Associates,INR,"3,879,564",1.0,275237.0,M/S CHAUHAN CONSTRUCTION,05-Apr-2022 10:09 AM,Rejected-Finance,L2,12-Apr-2022 11:32 AM,Technical,Bid Summary,Prem Dass,05-Apr-2022 02:59 PM,technical_88856.pdf,PWD,2022_PWD_58767_1,5323-48 dated 24.03.2022 BBRC RD7/0 to 10/0,Periodical renewal on Banethi Bagthan Rajgarh Chandol road Km7/0 to 10/0,Er Prem Dass Executive Engineer,Internal,Er J. N. Kanta Asstt. Engineer Supdt. Sanjeev Sharma Sr. Asstt. Shri Pappu Kumar JDM Smt. Neelam,Prem Dass,12-Apr-2022 10:41 AM,12-Apr-2022 10:50 AM,techsummary_88856.pdf (2090.99 KB),Er. Prem Dass Executive Engineer,Internal,Er. J.L.Kanta Assistant Engineer Supdt. Shri Rajeev Sharma Sr. Asstt Shri Pappu Kumar JDM Smt. Neelam,Prem Dass,12-Apr-2022 11:32 AM,finsummary_88856.pdf (431.87 KB),25-Apr-2022,"INR 3,879,564",90.0,Jai Lal Kanta,20-Feb-2023 03:29 PM,Scan1.PDF (267.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration reffer general rules and directions No 24.3 of SBD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,274656.0,naresh vij govt contractor,04-Apr-2022 07:37 PM,Rejected-Finance,L3,12-Apr-2022 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,274649.0,shubham construction,04-Apr-2022 07:54 PM,Rejected-Finance,L4,12-Apr-2022 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,274407.0,S.S. Associates,03-Apr-2022 03:46 PM,Accepted-AOC,work completed,20-Feb-2023 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have his own plant and machineries as well as paver finisher affidavit may be fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
