Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Bank Name,Tender Stage
08-Feb-2023,"INR 5,549,945.95",365.0,Chaman Singh,08-Feb-2023 02:16 PM,AOCKurara.pdf (804.00 KB),AOC issued to the L-1,"Superintendign engineer, 1st Circle HPPWD Mandi",Internal,Executive Engineer (D) 1st Circle Mandi Circle Head Draughtsman 1st Circle Mandi Supdt. Works,Chaman Singh,08-Feb-2023 02:12 PM,finsummary_99509.pdf (804.14 KB),Er. D.R. Chauhan Executive Engineer,Internal,Er Y. S. Chandel AE Suket Sh. Sushil Kumar DAO GR-I Sh. Dinesh Kumar HDM Sh. Gopal Singh Supdt. Accounts,Hitesh Sharma,21-Oct-2022 01:16 PM,22-Oct-2022 03:00 PM,techsummary_99509.pdf (929.43 KB),PWD,2022_PWD_66120_1,PW-SNR-E-Ten/Giriraj- 14678-88 dt 4.10.2022,"Construction of Ayurvedic Health Centre with residence without ward at Kurara, Tehsil Sundernagar, Distt. Mandi (HP)",1.0,308229.0,TEK CHAND,INR,"5,549,945.95",Finance,FBOS,Chaman Singh,27-Oct-2022 03:12 PM,finance_99509.pdf,BOQ Comparative Chart,Technical,BOS,Hitesh Sharma,21-Oct-2022 12:53 PM,technical_99509.pdf,1.0,308144.0,ANIL KUMAR,12-Oct-2022 07:14 PM,Rejected-AOC,Not found lowest,08-Feb-2023 02:17 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,"2,000",EE Sundernagar,Sundernagar,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,19,500",Yes,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-E-Ten/Giriraj- 14678-88 dt 4.10.2022,2022_PWD_66120_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Construction of Ayurvedic Health Centre with residence without ward at Kurara, Tehsil Sundernagar, Distt. Mandi (HP)","SH C/o building portion, WS and SI, septic tank etc.)",Please refer Tender documents. ,NA ,"59,67,875",Civil Works,NA ,Tender,75.0,365.0,In Sundernagar Division,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,07-Oct-2022 09:00 AM,13-Oct-2022 11:30 AM,07-Oct-2022 09:00 AM,13-Oct-2022 10:00 AM,NA ,NA ,07-Oct-2022 09:00 AM,13-Oct-2022 10:00 AM,22-Oct-2022 03:00 PM,Executive Engineer,E.E. Sunder Nagar Division HPPWD,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,308099.0,BHOOP SINGH,12-Oct-2022 08:48 PM,Rejected-Technical,Being Non Responsive,21-Oct-2022 01:16 PM,AOC,,,.pdf,The earnest money indicated in schedule E,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,308229.0,TEK CHAND,13-Oct-2022 08:02 AM,Accepted-AOC,Being Lowest,08-Feb-2023 02:17 PM,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of work done / Work in hand / Bidding Capacity as per general rules No. 16 and 26.,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Latest ITR Return,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
