Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"1,500",Nil,Nil,No,06-Apr-2022 10:00 AM,12-Apr-2022 11:00 AM,06-Apr-2022 10:00 AM,12-Apr-2022 10:30 AM,NA ,NA ,06-Apr-2022 10:00 AM,12-Apr-2022 10:30 AM,12-Apr-2022 01:30 PM,PWD,20462-70 dated 29.03.2022 C/o of Solan Ra,2022_PWD_59081_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money indicate in Schedule F General Rule NO24.1,Executive Engineer B and R Division HPPWD Solan,Near New Bus Stand Bye pass road Solan,"51,900",No,fixed,,Nil,Nil,Construction of Solan Rajgarh Bye pass road Km0/0 to 5/410 under MNP,SH Providing and laying Bituminous Concrete in Km3/860 to 4/0 and 4/040 to 4/800,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,AOC,PWD,2022_PWD_59081_1,20462-70 dated 29.03.2022 C/o of Solan Ra,Construction of Solan Rajgarh Bye pass road Km0/0 to 5/410 under MNP,Er Arvind sharma EE B and R Solan,Internal,Shri Deepak Anand Senior Divisional Accounts Officer Shri Om Prakash Supdt Grade II PMGSY Shri Hemender Sharma HDM and Shri Rajkumar Tender Assistant,Arvind Kumar,12-Apr-2022 12:29 PM,12-Apr-2022 01:30 PM,techsummary_89436.pdf (22.11 KB),Er Arvind sharma EE B and R Solan,Internal,Shri Deepak Anand Senior Divisional Accounts Officer Shri Om Prakash Supdt Grade II PMGSY Shri Hemender Sharma HDM and Shri Rajkumar Tender Assistant,Arvind Kumar,12-Apr-2022 05:30 PM,finsummary_89436.pdf (22.11 KB),13-Apr-2022,"INR 1,304,395",60.0,Arvind Kumar,09-Feb-2023 03:48 PM,a.pdf (545.00 KB),AOC,1.0,276541.0,RISHU KUMAR,INR,"1,304,395",Finance,Financial bid opening summary,Arvind Kumar,12-Apr-2022 05:25 PM,finance_89436.pdf,BOQ Comparative Chart,1.0,276935.0,BHUPENDER SINGH THAKUR,11-Apr-2022 06:50 PM,Rejected-Finance,L2,12-Apr-2022 05:30 PM,Technical,Technical bid opening summary,Arvind Kumar,12-Apr-2022 12:28 PM,technical_89436.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"The Rates for the Bitumen VG 10 grade Rs. 64711.57 and Bitumen RS I is Rs.60,029 inclusive GST",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276541.0,RISHU KUMAR,11-Apr-2022 03:58 PM,Accepted-AOC,L-1,09-Feb-2023 03:49 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration reffer general rules and directions No 24.3 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
