S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,321776.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,INR,"373,402.5",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68119_1,184619/2022-23-8281-90 Dated 02-02-2023,Tender for replacement of 35 Nos. rotten wooden poles from existing 25KVA 22/0.4KV Sub-Station Pathrevi under Electrical Sub-Division HPSEBL Seri.,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,23-Feb-2023 04:56 PM,finsummary_102589.pdf (385.05 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Ravinder Kumar,15-Feb-2023 03:59 PM,15-Feb-2023 04:05 PM,techsummary_102589.pdf (381.78 KB),1.0,321776.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,11-Feb-2023 07:53 PM,Accepted-AOC,Awarded to KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED because the price-bid was lowest 1 and found to be valid as per the terms and conditions mentioned in the tender document,23-Feb-2023 05:20 PM,Finance,Financial bid opened by tender committee.,Sushil Kumar,23-Feb-2023 11:24 AM,finance_102589.pdf,BOQ Comparative Chart,Technical,Fulfill all the techno-commercial condition as per bid document,Ravinder Kumar,15-Feb-2023 03:52 PM,technical_102589.pdf,23-Feb-2023,"INR 497,870",30.0,Sushil Kumar,23-Feb-2023 05:19 PM,award134pathrevi.pdf (1880.00 KB),Awarded to KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED because the price-bid was lowest 1 and found to be valid as per the terms and conditions mentioned in the tender document,AOC,1.0,ICICI BANK,04-Feb-2023 05:15 PM,13-Feb-2023 12:30 PM,04-Feb-2023 05:15 PM,13-Feb-2023 10:30 AM,NA ,NA ,04-Feb-2023 05:15 PM,13-Feb-2023 10:30 AM,15-Feb-2023 04:05 PM,"12,447",No,fixed,,Nil,Nil,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8281-90 Dated 02-02-2023,2023_HPSEB_68119_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,Tender for replacement of 35 Nos. rotten wooden poles from existing 25KVA 22/0.4KV Sub-Station Pathrevi under Electrical Sub-Division HPSEBL Seri.,Tender for replacement of 35 Nos. rotten wooden poles from existing 25KVA 22/0.4KV Sub-Station Pathrevi under Electrical Sub-Division HPSEBL Seri.,Please refer tender document  ,N/A ,"4,97,870",Supply and Erection,Electrical work ,Tender,180.0,30.0,Seri,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,321624.0,M/S HARI OM CONSTRUCTION GROUP,11-Feb-2023 01:55 PM,Rejected-Finance,L3,23-Feb-2023 04:56 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,320740.0,VISHAL ELECTRICAL GOVT CONT,12-Feb-2023 01:45 PM,Rejected-Finance,L2,23-Feb-2023 04:56 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Non- blacklisting as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
