EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"37,150",No,fixed,,Nil,Nil,Construction of Health Sub-Centre Building at Thana Bargran in District Kangra (Himachal Pradesh).,Construction of Building portion in ground floor including water supply and sanitary Installation septic Tank and side development of land etcetera (Deposit work,Please refer Tender documents. ,NA ,"18,57,279",Civil Works - Buildings,NA ,Tender,120.0,180.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,30-Jul-2022 05:00 PM,12-Aug-2022 11:00 AM,30-Jul-2022 05:00 PM,12-Aug-2022 09:00 AM,NA ,NA ,30-Jul-2022 05:00 PM,12-Aug-2022 09:00 AM,31-Aug-2022 10:00 AM,PWD,PWD- Civil-30.1-Tanda,2022_PWD_63226_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,500.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,AOC,1.0,294072.0,AJIT SINGH GOVT CONTRACTOR,INR,"1,771,964",Finance,sum,Suresh Kumar Walia,02-Sep-2022 11:22 AM,finance_95290.pdf,BOQ Comparative Chart,1.0,294072.0,AJIT SINGH GOVT CONTRACTOR,11-Aug-2022 02:59 PM,Accepted-AOC,Award,07-Feb-2023 02:02 PM,Technical,sum,Suresh Kumar Walia,30-Aug-2022 10:16 AM,technical_95290.pdf,PWD,2022_PWD_63226_2,PWD- Civil-30.1-Tanda,Construction of Health Sub-Centre Building at Thana Bargran in District Kangra (Himachal Pradesh).,Dr Suresh Kumar walia,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,30-Aug-2022 10:18 AM,31-Aug-2022 10:00 AM,techsummary_95290.pdf (796.52 KB),Dr Suresh kumar walia,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,02-Sep-2022 11:28 AM,finsummary_95290.pdf (188.13 KB),28-Jan-2023,"INR 1,857,279",180.0,Suresh Kumar Walia,07-Feb-2023 02:02 PM,Award.pdf (672.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,2.0,295363.0,RAHUL SHARMA,11-Aug-2022 04:27 PM,Rejected-Finance,Lowest 2,02-Sep-2022 11:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, Pan No and EPF No",,,,,,,,,AOC,,,,,,,,,,,,3.0,295421.0,Sameer Bhatnagar,11-Aug-2022 09:38 PM,Rejected-Technical,Not Fullfil carteria,30-Aug-2022 10:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,AOC,,,,,,,,,,,,4.0,295294.0,shakti chand,11-Aug-2022 02:44 PM,Rejected-Finance,Lowest3,02-Sep-2022 11:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
