Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
29-Mar-2022,"INR 18,456,667",270.0,Kulbir Singh Thakur,16-Feb-2023 03:27 PM,omprakash.pdf (479.00 KB),LOA,Er Kulbir Singh Thakur EE,Internal,"Ms Akriti Aggarwal DAO, Sh Ghanshyam Mehta HDM, Sh Rajinder Singh Supdt GrII, Smt Samriti VErma TA",Kulbir Singh Thakur,24-Mar-2022 12:02 PM,finsummary_87364.pdf (448.10 KB),"Er Kulbir Singh Thakur, EE NH Division, HPPWD Solan",Internal,Miss Akriti Aggarwal AO Sh Ghanshyam Mehta HDM SH rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,22-Mar-2022 10:52 AM,22-Mar-2022 11:00 AM,techsummary_87364.pdf (597.40 KB),PWD,2022_PWD_57853_2,6576-99 dated 08.03.2022,C/O Steel Footpath on Shimla By Pass road on NH-22 (new NH 05) at km 11/140 to 11/610,Technical,Bid opening summary,Kulbir Singh Thakur,22-Mar-2022 10:49 AM,technical_87364.pdf,1.0,270839.0,Om Parkash Sharma,18-Mar-2022 06:36 PM,Accepted-AOC,L1,16-Feb-2023 03:28 PM,1.0,270839.0,Om Parkash Sharma,INR,"18,456,667",Finance,Financial Bid Opening Summary,Kulbir Singh Thakur,24-Mar-2022 11:47 AM,finance_87364.pdf,BOQ Comparative Chart,AOC,"5,000",Executive Engineer NH Division HPPWD Solan,Solan,No,"3,57,500",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money,1.0,DD - Demand Draft,C/O Steel Footpath on Shimla By Pass road on NH-22 (new NH 05) at km 11/140 to 11/610,C/O Steel footpath and Providing and fixing Interlocking Paver Block on Berms etc (Against Smart City),As per tender document ,NA ,"1,78,70,521",Civil Works - Others,NA ,Tender,120.0,270.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,PWD,6576-99 dated 08.03.2022,2022_PWD_57853_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,11-Mar-2022 05:00 PM,19-Mar-2022 11:00 AM,11-Mar-2022 05:00 PM,19-Mar-2022 10:30 AM,NA ,NA ,11-Mar-2022 05:00 PM,19-Mar-2022 10:30 AM,22-Mar-2022 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270861.0,RAJESH SHARMA,18-Mar-2022 07:45 PM,Rejected-Finance,Being L2,24-Mar-2022 12:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,contractor registration,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,EPF No.,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,GST / Sales Tax number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,"List of machinery, tools and plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Form of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of all the documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding gazetted and non gazetted employees in HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
