Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,06-Feb-2023 03:41 PM,technical_102005.pdf,Finance,Financial bid opened by tender committee,Sushil Kumar,17-Feb-2023 11:22 AM,finance_102005.pdf,BOQ Comparative Chart,17-Feb-2023,"INR 568,065",30.0,Sushil Kumar,17-Feb-2023 04:06 PM,131chhatri.pdf (1958.00 KB),Awarded to M/S Koyla Engineering Works because the price-bid was lowest 2 and found to be valid i.e. as per the terms and conditions mentioned in the tender document.,1.0,319712.0,ABS ENTERPRISES,02-Feb-2023 04:44 PM,Rejected-Finance,L6,17-Feb-2023 02:43 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,06-Feb-2023 03:48 PM,06-Feb-2023 04:30 PM,techsummary_102005.pdf (425.55 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_67697_1,184619/2022-23-8037-43 Dated 24-01-2023,"Tender for replacement of 42 Nos rotten wooden poles from existing 63KVA, 22/0.4 KV Sub-Station Chhatri-1st, 100KVA Chhatri-2nd and Panahar under Electrical Sub-Division HPSEBL Chhatri.",1.0,317618.0,Koyla Engineering Works,INR,"426,071.45","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,17-Feb-2023 02:43 PM,finsummary_102005.pdf (543.42 KB),AOC,"14,202",No,fixed,,Nil,Nil,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog","1,180",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"Tender for replacement of 42 Nos rotten wooden poles from existing 63KVA, 22/0.4 KV Sub-Station Chhatri-1st, 100KVA Chhatri-2nd and Panahar under Electrical Sub-Division HPSEBL Chhatri.","Tender for replacement of 42 Nos rotten wooden poles from existing 63KVA, 22/0.4 KV Sub-Station Chhatri-1st, 100KVA Chhatri-2nd and Panahar under Electrical Sub-Division HPSEBL Chhatri.",Please refer tender document  ,N/A ,"5,68,065",Supply and Erection,Electrical Work ,Tender,180.0,30.0,Chhatri,175014.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8037-43 Dated 24-01-2023,2023_HPSEB_67697_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,28-Jan-2023 05:15 PM,03-Feb-2023 12:30 PM,28-Jan-2023 05:15 PM,03-Feb-2023 10:30 AM,NA ,NA ,28-Jan-2023 05:15 PM,03-Feb-2023 10:30 AM,06-Feb-2023 04:30 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,2.0,319826.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,03-Feb-2023 10:08 AM,Rejected-Finance,"Price bid was found to be the L 1, but at the same time it was also found to be less than 25 percent of the NIT amount as per the terms and conditions mentioned in the tender document hence rejected.",17-Feb-2023 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,3.0,317618.0,Koyla Engineering Works,01-Feb-2023 07:29 PM,Accepted-AOC,Awarded to M/S Koyla Engineering Works because the price-bid was lowest 2 and found to be valid i.e. as per the terms and conditions mentioned in the tender document.,17-Feb-2023 04:07 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,319736.0,M/S HARI OM CONSTRUCTION GROUP,02-Feb-2023 05:11 PM,Rejected-Finance,L7,17-Feb-2023 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5.0,319824.0,MS. Prem Enterprises,03-Feb-2023 10:02 AM,Rejected-Finance,L4,17-Feb-2023 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6.0,319668.0,NAROTAM RAM,02-Feb-2023 03:06 PM,Rejected-Finance,L5,17-Feb-2023 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7.0,319786.0,SUNEEL THAKUR ELECTRICAL,02-Feb-2023 09:49 PM,Rejected-Finance,L3,17-Feb-2023 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
