S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,350.0,Nil,Nil,No,PWD,C/o Play Ground and Jim at Talwar,2022_PWD_65189_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,19-Sep-2022 05:00 PM,26-Sep-2022 11:00 AM,19-Sep-2022 05:00 PM,24-Sep-2022 05:00 PM,NA ,NA ,19-Sep-2022 05:00 PM,24-Sep-2022 05:00 PM,01-Oct-2022 11:30 AM,"15,400",No,fixed,,Nil,Nil,C/o Play Ground and Jim at Talwar in G.P. Sole Banehar Tehsil Jaisinghpur,C/o Sitting tiers,Please refer Tender documents. ,NA ,"7,69,216",Civil Works - Buildings,NA ,Tender,75.0,30.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur",AOC,PWD,2022_PWD_65189_1,C/o Play Ground and Jim at Talwar,C/o Play Ground and Jim at Talwar in G.P. Sole Banehar Tehsil Jaisinghpur,Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,30-Sep-2022 04:38 PM,01-Oct-2022 11:30 AM,techsummary_98131.pdf (229.92 KB),Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,15-Oct-2022 12:11 PM,finsummary_98131.pdf (194.68 KB),31-Jan-2023,"INR 769,216",30.0,Vijay Kumar Verma,15-Feb-2023 04:29 PM,Award.pdf (554.00 KB),Award,1.0,303188.0,arun kumar,24-Sep-2022 12:59 PM,Rejected-Finance,Rejected due to higher rates bidder L2,15-Oct-2022 12:11 PM,Technical,Summary,R.K Dhiman,30-Sep-2022 04:34 PM,technical_98131.pdf,Finance,Summary,R.K Dhiman,15-Oct-2022 12:08 PM,finance_98131.pdf,BOQ Comparative Chart,1.0,303500.0,Rajinder Kumar Govt.Contractor,INR,"584,162",AOC
2.0,ICICI NEFT/RTGS,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,303227.0,chander pal rihal,23-Sep-2022 06:43 PM,Rejected-Finance,Rejected due to higher rates bidder L3,15-Oct-2022 12:11 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,303500.0,Rajinder Kumar Govt.Contractor,24-Sep-2022 03:35 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,15-Feb-2023 04:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
