Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",Vijay Kumar Verma,13-Feb-2023 12:26 PM,finsummary_102126.pdf (219.29 KB),24-Feb-2023,"INR 4,392,248",60.0,Vijay Kumar Verma,25-Aug-2023 04:10 PM,Award.pdf (589.00 KB),Award,PWD,2023_PWD_67791_1,Annual maintenance plan for Gander to Barram Kalan,Annual maintenance plan for Gander to Barram Kalan road DRRP No.HP0407VR008557301-3-5,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",Vijay Kumar Verma,08-Feb-2023 02:54 PM,09-Feb-2023 11:00 AM,techsummary_102126.pdf (372.84 KB),Technical,Summary,Vijay Kumar Verma,08-Feb-2023 02:52 PM,technical_102126.pdf,1.0,320215.0,G.P.ACHARYA,05-Feb-2023 06:19 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,25-Aug-2023,Finance,Summary,Vijay Kumar Verma,13-Feb-2023 12:23 PM,finance_102126.pdf,BOQ Comparative Chart,1.0,320215.0,G.P.ACHARYA,INR,"4,382,712",Annual maintenance plan for Gander to Barram Kalan road DRRP No.HP0407VR008557301-3-5,"Providing and Laying Tack coat, 30 mm thick Bituminous concrete including profile correction and applying 2.5 mm thick hot Thermoplastic road marking strips (Retro-Reflective) between Km 0/00 to 1/00, 2/00 to 3/00 and 4/00 to 5/00 (Year 2023-24 Vill",Please refer Tender documents. ,NA ,"43,92,248",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"2,000",Nil,Nil,No,Executive Engineer,Executive Engineer HPPWD Division Jaisinghpur,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,1.0,ICICI BANK,31-Jan-2023 12:00 PM,06-Feb-2023 11:30 AM,31-Jan-2023 04:00 PM,06-Feb-2023 11:00 AM,NA ,NA ,31-Jan-2023 04:00 PM,06-Feb-2023 11:00 AM,09-Feb-2023 11:00 AM,"87,900",No,fixed,,Nil,Nil,PWD,Annual maintenance plan for Gander to Barram Kalan,2023_PWD_67791_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,319848.0,Kulvinder Singh Rana,05-Feb-2023 07:01 PM,Rejected-Finance,Rejected due to higher rates bidder L2,13-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,320162.0,MOHINDER PAL GOVT. CONTRACTOR,04-Feb-2023 07:37 PM,Rejected-Technical,Non Responsive,08-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Rule 26.2 b in SBD one Similar work not less than 40 percent of estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,320350.0,VISHAL ACHARYA,05-Feb-2023 07:31 PM,Rejected-Technical,Non Responsive,08-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in the shape of National saving NSC/TDA in any of the post office in HP Nationalized bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
