Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Technical,BOS,Parveen Kumar Verma,10-Feb-2023 01:42 PM,technical_102020.pdf,1.0,319445.0,lov vij govt contractor,04-Feb-2023 09:28 PM,Accepted-AOC,L1,07-Jul-2023,1.0,319445.0,lov vij govt contractor,INR,"7,402,503",Finance,Bid Opening Summary,Parveen Kumar Verma,14-Feb-2023 11:02 AM,finance_102020.pdf,BOQ Comparative Chart,16-Feb-2023,"INR 7,402,503",15.0,Bhupender Singh,07-Jul-2023 04:45 PM,AOCLovvij.pdf (481.00 KB),AOC,P.K. Verma E.E.,Internal,Sanjeev Chauhan Supdt. Padam Sharma HDM Deepak Sharma Sr. DAO,Parveen Kumar Verma,14-Feb-2023 11:07 AM,finsummary_102020.pdf (432.75 KB),P.K. E.E.,Internal,Sanjeev Chauhan Supdt. Padma Sharma HDM Deepak Sharma Sr. DAO,Parveen Kumar Verma,10-Feb-2023 01:51 PM,10-Feb-2023 01:55 PM,techsummary_102020.pdf (404.45 KB),PWD,2023_PWD_67706_3,No.SD-III-27540-59,Annual Maintenance on various roads under Shimla Sub Division No.V Raj Bhawan Shimla-2. (SH- Providing renewal coat with 30mm thick bituminous concrete on road from Navbhar to Holy lodge Rd 0-00 to 1-00 Navbhar to Ritiz road Rd 1-165 to 3-00 approach,PWD,No.SD-III-27540-59,2023_PWD_67706_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"2,000",Nil,Nil,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","1,44,610",No,fixed,,Nil,Nil,Annual Maintenance on various roads under Shimla Sub Division No.V Raj Bhawan Shimla-2. (SH- Providing renewal coat with 30mm thick bituminous concrete on road from Navbhar to Holy lodge Rd 0-00 to 1-00 Navbhar to Ritiz road Rd 1-165 to 3-00 approach,Annual Maintenance on various roads under Shimla Sub Division No.V Raj Bhawan Shimla-2. (SH- Providing renewal coat with 30mm thick bituminous concrete on road from Navbhar to Holy lodge Rd 0-00 to 1-00 Navbhar to Ritiz road Rd 1-165 to 3-00 approach,As per SBD ,NA ,"72,30,041",Civil Works - Roads,NA ,Tender,75.0,15.0,Raj Bhawan,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,29-Jan-2023 01:00 PM,06-Feb-2023 11:00 AM,30-Jan-2023 10:00 AM,05-Feb-2023 06:00 PM,NA ,NA ,30-Jan-2023 10:00 AM,05-Feb-2023 06:00 PM,10-Feb-2023 01:55 PM
,,,,,2.0,319830.0,Satish Kumar Vij,04-Feb-2023 09:17 PM,Rejected-Finance,L2,14-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact number and Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
