Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,18-Oct-2022 12:38 PM,finsummary_99229.pdf (25.01 KB),HP SIDC Limited,2022_SIDC_65929_1,Job No. 1,Development of Medical Device Park at Nalagarh Distt. Solan (SH- Formation cutting Phase-I).,30-Jan-2023,"INR 418,378,347",180.0,Sushant Singh Negi,16-Feb-2023 03:39 PM,mdpnalagarh.pdf (1245.00 KB),Award letter,1.0,307355.0,Dinesh Kumar Sharma Const. (P) Ltd,INR,"418,378,347",Technical,Tender summary,BHUP SINGH,11-Oct-2022 01:18 PM,technical_99229.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ), EE(MDP)",BHUP SINGH,14-Oct-2022 03:45 PM,15-Oct-2022 04:00 PM,techsummary_99229.pdf (542.08 KB),1.0,307125.0,Bansal Infratech Synergies India Ltd,10-Oct-2022 04:11 PM,Rejected-Finance,Fourth lowest bidder,18-Oct-2022 12:38 PM,Finance,Financial summary,BHUP SINGH,15-Oct-2022 04:16 PM,finance_99229.pdf,BOQ Comparative Chart,AOC,03-Oct-2022 11:50 AM,11-Oct-2022 11:00 AM,03-Oct-2022 11:50 AM,10-Oct-2022 05:00 PM,NA ,NA ,03-Oct-2022 11:50 AM,10-Oct-2022 05:00 PM,15-Oct-2022 04:00 PM,HP SIDC Limited,Job No. 1,2022_SIDC_65929_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition) Joint Venture / Consortium,"5,900",Nil,Nil,No,Development of Medical Device Park at Nalagarh Distt. Solan (SH- Formation cutting Phase-I).,(SH- Formation cutting Phase-I).,Please refer Tender documents. ,NA ,"59,76,50,778",Civil Works - Roads,NA ,Tender,120.0,180.0,Nalagarh (MDP),174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,ICICI BANK,"1,19,53,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,307048.0,Braithwaite & Company Limited,10-Oct-2022 03:52 PM,Rejected-Technical,The requisite documents of consortium partner is not attached,14-Oct-2022 03:45 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,307355.0,Dinesh Kumar Sharma Const. (P) Ltd,10-Oct-2022 02:26 PM,Accepted-AOC,AOC,16-Feb-2023 03:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,307534.0,M/s. Gurbachan Singh Contractor-DMR (JV),10-Oct-2022 02:19 PM,Rejected-Finance,Second lowest bidder,18-Oct-2022 12:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,306662.0,RAJINDER INFRASTRUCTURE PVT LTD.,10-Oct-2022 04:40 PM,Rejected-Finance,Third lowest bidder,18-Oct-2022 12:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff (point 6 TQC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others financial terms and conditions (point 7 TQC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
