Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,15-Oct-2022 01:15 PM,finsummary_98204.pdf (28.87 KB),HP SIDC Limited,2022_SIDC_65237_1,Job No. 3,Construction of road from Trilokpur road to M/S Khatu Shyam Industries at I.A. Kala-Amb Distt. Sirmour (HP).,15-Feb-2023,"INR 2,743,511",120.0,Sushant Singh Negi,20-Feb-2023 03:24 PM,subhashchand.pdf (1578.00 KB),Award letter,1.0,304321.0,SUBHASH CHAND,INR,"2,743,511",Technical,Tender summary,Sushant Singh Negi,10-Oct-2022 04:06 PM,technical_98204.pdf,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,10-Oct-2022 04:09 PM,10-Oct-2022 04:30 PM,techsummary_98204.pdf (494.70 KB),1.0,304391.0,ANIL KUMAR,27-Sep-2022 04:56 PM,Rejected-Finance,Fourth lowest bidder,15-Oct-2022 01:15 PM,Finance,Financial summary,Sushant Singh Negi,15-Oct-2022 01:10 PM,finance_98204.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),21-Sep-2022 11:00 AM,28-Sep-2022 11:00 AM,21-Sep-2022 11:00 AM,27-Sep-2022 05:00 PM,NA ,NA ,21-Sep-2022 11:00 AM,27-Sep-2022 05:00 PM,10-Oct-2022 04:30 PM,Executive Engineer,HPSIDC Shimla,Construction of road from Trilokpur road to M/S Khatu Shyam Industries at I.A. Kala-Amb Distt. Sirmour (HP).,Construction of road from Trilokpur road to M/S Khatu Shyam Industries at I.A. Kala-Amb Distt. Sirmour (HP).,Please refer Tender documents. ,NA ,"39,19,302",Civil Works - Roads,NA ,Tender,120.0,120.0,Kala Amb,173030.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,ICICI BANK,HP SIDC Limited,Job No. 3,2022_SIDC_65237_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"43,800",No,fixed,,Nil,Nil,"4,600",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304269.0,DHARMENDER VERMA,27-Sep-2022 12:07 PM,Rejected-Technical,The similar type of work done of minimum amount not less than 40 percent of estimated cost in last five years has not submitted as per condition of tender.,10-Oct-2022 04:09 PM,,,,,,,AOC,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,304389.0,Hunar Singh,27-Sep-2022 04:57 PM,Rejected-Finance,Third lowest bidder,15-Oct-2022 01:15 PM,,,,,,,AOC,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,304336.0,Ramesh Chand Rana,27-Sep-2022 02:44 PM,Rejected-Finance,Second lowest bidder,15-Oct-2022 01:15 PM,,,,,,,AOC,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,304321.0,SUBHASH CHAND,27-Sep-2022 03:26 PM,Accepted-AOC,AOC,20-Feb-2023 03:26 PM,,,,,,,AOC,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
