Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
EE,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,14-Jan-2022 08:17 PM,19-Jan-2022 11:30 AM,techsummary_82458.pdf (232.17 KB),PWD,2021_PWD_54997_1,"No,PWC-WA-11- 12326-425 dated 14.12.2021",Repair of residential Quarter for Revenue Department at Hardaspura Replacement of roofing and replacement of flooring in 20 Nos. Type-II Quarter,Technical,BOS,Jeet Singh Thakur,14-Jan-2022 04:58 PM,technical_82458.pdf,1.0,252940.0,Amarpreet Govt Contractor,28-Dec-2021 06:25 PM,Rejected-Finance,3rd lowest,14-Feb-2022 06:57 PM,AOC,"1,500",Nil,Nil,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,PWD,"No,PWC-WA-11- 12326-425 dated 14.12.2021",2021_PWD_54997_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"56,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,Repair of residential Quarter for Revenue Department at Hardaspura Replacement of roofing and replacement of flooring in 20 Nos. Type-II Quarter,Repair of residential Quarter for Revenue Department at Hardaspura Replacement of roofing and replacement of flooring in 20 Nos. Type-II Quarter,Please refer Tender documents. ,NA ,"28,16,875",Civil Works,NA ,Tender,75.0,90.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,24-Dec-2021 10:55 AM,30-Dec-2021 11:30 AM,24-Dec-2021 10:55 AM,30-Dec-2021 11:00 AM,NA ,NA ,24-Dec-2021 10:55 AM,30-Dec-2021 11:00 AM,19-Jan-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,AOC
,,,,,,,,,,,,,,,,2.0,253243.0,Darshan Kumar,30-Dec-2021 09:27 AM,Accepted-AOC,Work completed,25-Feb-2023 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,AOC
,,,,,,,,,,,,,,,,3.0,253247.0,Mukesh Kuamr,29-Dec-2021 09:34 PM,Rejected-Finance,4th lowest,14-Feb-2022 06:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),AOC
,,,,,,,,,,,,,,,,4.0,253261.0,RASHID KHAN GOVT CONTRACTOR,30-Dec-2021 10:49 AM,Rejected-Finance,2nd lowest,14-Feb-2022 06:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing work/Work in hand certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
