S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,"1,04,400",Yes,fixed,,EE KARSOG,KARSOG,"5,000",EE KARSOG,KARSOG,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,E E KARSOG,KARSOG MANDI HP,PWD,PWD-KSG-E-Tenders/2018-19-3558,2019_PWD_31510_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Levelling and Protection work to existing ground at Tattapani,"P/L G-I, G-II, G-III, M/T and C/O V-shape, U-shape darain at Km. 0/00 to 0/630 and levelling and angle iron framed protection works.",Please refer Tender documents. ,NA ,"64,60,474",Civil Works,NA ,Tender,365.0,365.0,KARSOG,175011.0,NA ,NA ,NA ,KARSOG,No ,No,16-Sep-2019 09:00 AM,24-Sep-2019 12:00 PM,16-Sep-2019 10:15 AM,23-Sep-2019 10:30 AM,NA ,NA ,16-Sep-2019 10:30 AM,23-Sep-2019 10:30 AM,14-Oct-2019 03:15 PM,AOC,Finance,ATTACHED,Maan Singh,14-Oct-2019 03:28 PM,finance_45378.pdf,BOQ Comparative Chart,1.0,132006.0,NARENDER KUMAR BHARDWAJ,INR,"7,807,636",1.0,131982.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,22-Sep-2019 05:35 PM,Rejected-Technical,DUE TO NOT SUBMITED ENLISTMENT,14-Oct-2019 03:02 PM,Technical,ATTACHED,Maan Singh,14-Oct-2019 02:59 PM,technical_45378.pdf,PWD,2019_PWD_31510_1,PWD-KSG-E-Tenders/2018-19-3558,Levelling and Protection work to existing ground at Tattapani,MAAN SINGH,Internal,MAAN,Maan Singh,14-Oct-2019 03:02 PM,14-Oct-2019 03:15 PM,techsummary_45378.pdf (296.04 KB),MAAN SINGH,Internal,,BHAL CHAND THAKUR,29-Sep-2020 04:02 PM,finsummary_45378.pdf (236.48 KB),29-Sep-2020,"INR 7,874,236",365.0,BHAL CHAND THAKUR,29-Sep-2020 04:07 PM,NARENDER.pdf (236.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,132006.0,NARENDER KUMAR BHARDWAJ,23-Sep-2019 10:06 AM,Accepted-AOC,OK,29-Sep-2020 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,131943.0,Vijay Sharma,21-Sep-2019 10:29 PM,Rejected-Technical,WORK DONE NOT SIGN BY EE,14-Oct-2019 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,131531.0,VINAY CHAUHAN,23-Sep-2019 10:23 AM,Rejected-Finance,L2,29-Sep-2020 04:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
