Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,25-Jul-2020 11:02 AM,finsummary_56573.pdf (198.98 KB),17-Aug-2020,"INR 1,318,950",90.0,Suresh Kumar Walia,15-Sep-2020 12:37 PM,Award.pdf (254.00 KB),Award,PWD,2020_PWD_38290_6,PWD Civil Work -1408-1437-Tanda,Construction of link road to village Ghorab Km 0/000 to 1/410 in Distt Kangra (HP) Under SCSP Head (SH-Providing and laying interlocking pavers block in Km 0/905 to 1/410).,Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok TA,Suresh Kumar Walia,21-Jul-2020 01:15 PM,24-Jul-2020 11:00 AM,techsummary_56573.pdf (866.68 KB),Technical,Sum,Suresh Kumar Walia,21-Jul-2020 01:08 PM,technical_56573.pdf,1.0,166271.0,AKSHAY KAPOOR,09-Jul-2020 07:12 AM,Rejected-Technical,Not Fulfill criteria,21-Jul-2020 01:15 PM,1.0,166685.0,Karan Sharma,INR,"1,318,950",Finance,Sum,Suresh Kumar Walia,25-Jul-2020 10:58 AM,finance_56573.pdf,BOQ Comparative Chart,AOC,Construction of link road to village Ghorab Km 0/000 to 1/410 in Distt Kangra (HP) Under SCSP Head (SH-Providing and laying interlocking pavers block in Km 0/905 to 1/410).,Construction of link road to village Ghorab Km 0/000 to 1/410 in Distt Kangra (HP) Under SCSP Head (SH-Providing and laying interlocking pavers block in Km 0/905 to 1/410).,Please refer Tender documents. ,NA ,"13,38,439",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,500.0,Executive Engineer HP PWD Tanda,Kangra,No,"27,000",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,PWD,PWD Civil Work -1408-1437-Tanda,2020_PWD_38290_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,22-Jun-2020 06:15 PM,10-Jul-2020 11:30 AM,22-Jun-2020 06:15 PM,09-Jul-2020 05:00 PM,NA ,NA ,22-Jun-2020 06:15 PM,09-Jul-2020 05:00 PM,24-Jul-2020 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166527.0,Bhag Singh,08-Jul-2020 05:15 PM,Rejected-AOC,Lowest 3,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,166535.0,Kapil Sharma,08-Jul-2020 05:23 PM,Rejected-AOC,Lowest 4,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,166685.0,Karan Sharma,09-Jul-2020 03:45 PM,Accepted-AOC,Lowest 1,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,165748.0,Megh Chand Rana,02-Jul-2020 06:53 PM,Rejected-AOC,Lowest 8,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,166569.0,PARDEEP KUMAR,09-Jul-2020 01:23 PM,Rejected-AOC,Lowest 6,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,166355.0,Puneet Khosla,09-Jul-2020 07:34 AM,Rejected-AOC,Lowest 6,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,166680.0,SUKH SAGAR,09-Jul-2020 03:43 PM,Rejected-Technical,Not Fulfill criteria,21-Jul-2020 01:15 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,166699.0,Sunny,09-Jul-2020 04:54 PM,Rejected-AOC,Lowest 5,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,166654.0,Tilak,09-Jul-2020 01:45 PM,Rejected-AOC,Lowest 2,15-Sep-2020 12:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
