Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,KARSOG,EE KARSOG,"37,000",No,fixed,,EE HPPWD KARSOG,KARSOG,Periodic Maintenance on Balindi Kanda road VR-0067,"Periodic Maintenance on Balindi Kanda road VR-0067 (SH Providing and Laying 30 mm Bituminous concrete including profile correction, Thermoplastic paint and V-Shape drain in Km 2/00 to 4/00)",Please refer Tender documents. ,NA ,"19,65,083",Civil Works - Roads,NA ,Tender,60.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,EE HPPWD KARSOG,No ,No,PWD,PWKSG_E TENDER/2019-20 91441-51,2020_PWD_36313_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,17-Mar-2020 09:00 AM,26-Mar-2020 09:00 AM,17-Mar-2020 09:00 AM,24-Mar-2020 09:00 AM,NA ,NA ,17-Mar-2020 09:00 AM,24-Mar-2020 09:00 AM,05-May-2020 01:15 PM,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,"1,000",EE HPPWD KARSOG,KARSOG,No,AOC,Finance,OK,Maan Singh,30-Sep-2020 02:54 PM,finance_53561.pdf,BOQ Comparative Chart,1.0,156097.0,SURESH SHARMA GOVT CONTRACTOR,INR,"2,608,318",1.0,156190.0,PUNEET GOVT CONT,21-Mar-2020 01:02 PM,Rejected-Finance,L2,30-Sep-2020 04:47 PM,Technical,ATTACHED,Maan Singh,05-May-2020 12:59 PM,None,MAAN SINGH,Internal,,Maan Singh,05-May-2020 01:14 PM,05-May-2020 01:15 PM,techsummary_53561.pdf (501.98 KB),PWD,2020_PWD_36313_1,PWKSG_E TENDER/2019-20 91441-51,Periodic Maintenance on Balindi Kanda road VR-0067,30-Sep-2020,"INR 2,949,460",90.0,Maan Singh,30-Sep-2020 04:48 PM,SURESH.pdf (259.00 KB),,MAAN SINGH,Internal,,Maan Singh,30-Sep-2020 04:46 PM,finsummary_53561.pdf (259.39 KB),AOC
,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,156097.0,SURESH SHARMA GOVT CONTRACTOR,20-Mar-2020 07:01 PM,Accepted-AOC,L1,30-Sep-2020 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
