Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ)",Vikram Jeet,05-Aug-2020 12:28 PM,finsummary_55368.pdf (539.58 KB),HP SIDC Limited,2020_SIDC_37573_1,Job No. 6,"C/o Veterinary Hospital at Basal, Distt. Una (HP).",02-Sep-2020,"INR 4,426,901",240.0,Sushant Singh Negi,11-Sep-2020 10:31 AM,basalbagga.pdf (2420.00 KB),Award letter,1.0,162163.0,M/S Parminder Singh Bagga Govt Contractor,INR,"4,426,901",Technical,Tender opening detail,Sushant Singh Negi,18-Jun-2020 11:55 AM,technical_55368.pdf,SE,Internal,"DM, AE(HQ), Dy. Manager(P),EE(HQ)",Sushant Singh Negi,28-Jul-2020 04:45 PM,29-Jul-2020 11:00 AM,techsummary_55368.pdf (742.16 KB),1,162149,Harpal Singh,11-Jun-2020 04:35 PM,Rejected-Finance,Fifth lowest bidder,05-Aug-2020 12:28 PM,Finance,Financial summary,Vikram Jeet,05-Aug-2020 11:58 AM,finance_55368.pdf,BOQ Comparative Chart,AOC,27-May-2020 11:30 AM,12-Jun-2020 11:00 AM,27-May-2020 11:30 AM,11-Jun-2020 05:00 PM,NA ,NA ,27-May-2020 11:30 AM,11-Jun-2020 05:00 PM,29-Jul-2020 11:00 AM,1.0,ICICI BANK,"4,400",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),Executive Engineer,HPSIDC Ltd. Shimla,"C/o Veterinary Hospital at Basal, Distt. Una (HP).","C/o Veterinary Hospital at Basal, Distt. Una (HP).",Please refer Tender documents. ,NA ,"41,30,037",Civil Works - Buildings,NA ,Tender,120.0,240.0,Basal (Una),174303.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,HP SIDC Limited,Job No. 6,2020_SIDC_37573_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"70,000",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,162113,HIMTECH CONSTRUCTION CO,11-Jun-2020 11:26 AM,Rejected-Technical,The similar type of work done in last five years has not submitted as per condition of tender.,28-Jul-2020 04:46 PM,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,162163,M/S Parminder Singh Bagga Govt Contractor,11-Jun-2020 02:11 PM,Accepted-AOC,lowest bidder,11-Sep-2020 10:32 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,162055,Mukesh Kumar,10-Jun-2020 05:13 PM,Rejected-Technical,The similar type of work done in last five years has not submitted as per condition of tender.,28-Jul-2020 04:46 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each of Rs. 100.00 lacs or above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,162047,Om Parkash Govt Contrator,10-Jun-2020 03:42 PM,Rejected-Finance,Seventh lowest bidder,05-Aug-2020 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,161876,Rahul Verma Govt. Contractor,11-Jun-2020 04:02 PM,Rejected-Finance,Third lowest bidder,05-Aug-2020 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,160755,Sanjay Kumar,11-Jun-2020 03:09 PM,Rejected-Finance,Second lowest bidder,05-Aug-2020 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,160665,Shallu Malik Govt Contractor,03-Jun-2020 12:27 PM,Rejected-Technical,The similar type of work done in last five years has not submitted as per condition of tender.,28-Jul-2020 04:46 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,161396,shiv kumar kapila,09-Jun-2020 07:21 PM,Rejected-Finance,Fourth lowest bidder,05-Aug-2020 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,160979,Sushil Kumar Govt Contractor,11-Jun-2020 02:11 PM,Rejected-Finance,Sixth lowest bidder,05-Aug-2020 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
