Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
25-Sep-2020,"INR 4,485,332",365.0,Vijay Kumar Chauhan,25-Sep-2020 03:15 PM,AOC.pdf (998.00 KB),Bids was awarded being L1,"Superintedning Engineer, 4th Circle, HP.PWD., Shimla",Internal,"Executive Engineer, Theog Division and Circle Head Draughtsman",Vijay Kumar Chauhan,25-Sep-2020 02:36 PM,finsummary_55778.pdf (998.41 KB),Er Vijay Kumar Chauhan,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Satya Pall Sharma Sudpt Leela Verma Sr Asstt,Vijay Kumar Chauhan,22-Jun-2020 04:27 PM,22-Jun-2020 04:30 PM,techsummary_55778.pdf (639.78 KB),PWD,2020_PWD_37845_1,PW.THD/CB/-tender2020-593-604 Dt.15.5.2020,C.o Ayurvedic Health Center Building at Kamah in Tehsil Theog District Shimla HP SH C.o Building portion i.c W.S and S.I site development C.o septic tank and installation of solar system etc,Finance,summary,Vijay Kumar Chauhan,24-Jun-2020 11:48 AM,finance_55778.pdf,BOQ Comparative Chart,1.0,162685.0,Arun Hetta,INR,"5,323,453",Technical,Summary,Vijay Kumar Chauhan,18-Jun-2020 04:15 PM,technical_55778.pdf,1.0,162786.0,ankush sharma,16-Jun-2020 04:47 PM,Rejected-AOC,Highly quoted,25-Sep-2020 03:17 PM,AOC,C.o Ayurvedic Health Center Building at Kamah in Tehsil Theog District Shimla HP SH C.o Building portion i.c W.S and S.I site development C.o septic tank and installation of solar system etc,C.o Ayurvedic Health Center Building at Kamah in Tehsil Theog District Shimla HP SH C.o Building portion i.c W.S and S.I site development C.o septic tank and installation of solar system etc,Please refer Tender documents. ,NA ,"44,85,332",Civil Works - Buildings,NA ,Tender,90.0,365.0,HP PWD Theog Division,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,06-Jun-2020 04:00 PM,17-Jun-2020 11:00 AM,06-Jun-2020 04:00 PM,16-Jun-2020 06:00 PM,NA ,NA ,06-Jun-2020 04:00 PM,16-Jun-2020 06:00 PM,22-Jun-2020 04:30 PM,"2,000",EE Theog,HP PWD Theog,No,PWD,PW.THD/CB/-tender2020-593-604 Dt.15.5.2020,2020_PWD_37845_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HP PWD Theog,"75,000",No,fixed,,EE Theog,HP PWD Theog,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,162685.0,Arun Hetta,16-Jun-2020 03:41 PM,Accepted-AOC,Being L1,25-Sep-2020 03:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money deposit (as Schedule-F.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,162725.0,Davinder Sharma,16-Jun-2020 12:14 PM,Rejected-AOC,Highly quoted,25-Sep-2020 03:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,162829.0,Dinesh Chandel,16-Jun-2020 05:22 PM,Rejected-Technical,Non Responsive,22-Jun-2020 04:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,162647.0,Naresh Kumar,16-Jun-2020 07:12 AM,Rejected-AOC,Highly qyuoted,25-Sep-2020 03:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (as per Performa given in General Rule No-19 Countersigned by EE),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,162252.0,RAHUL BHARDWAJ,12-Jun-2020 04:14 PM,Rejected-AOC,Being L2,25-Sep-2020 03:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
