Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
EXECUTIVE ENGINEER,"Executive Engineer, Sarkaghat Division, HP.PWD., Sarkaghat","19,200",No,fixed,,EE Sarkaghat,Sarkaghat,21-Feb-2020 09:00 AM,28-Feb-2020 11:30 AM,21-Feb-2020 09:00 AM,28-Feb-2020 11:00 AM,21-Feb-2020 09:00 AM ,28-Feb-2020 11:00 AM ,21-Feb-2020 09:00 AM,28-Feb-2020 11:00 AM,06-Mar-2020 11:30 AM,PWD,PW-SKT-CB-Tender/2019-19411-14 dated 01.02.2020,2020_PWD_35353_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,Restoration of rain damages on Durgapur Kathogan Thona Rissa road Km. 0/0 to 24/,(SH- Construction of Retaining wall in PCC 1-5-10 at RD 18/640 to 18/690),Please refer Tender documents. ,NA ,"9,57,367",Civil Works - Roads,NA ,Tender,90.0,90.0,SARKAGHAT,175024.0,NA ,NA ,NA ,SARKAGHAT,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,350.0,EE Sarkaghat,Sarkaghat,No,AOC,PWD,2020_PWD_35353_1,PW-SKT-CB-Tender/2019-19411-14 dated 01.02.2020,Restoration of rain damages on Durgapur Kathogan Thona Rissa road Km. 0/0 to 24/,Executive Engineer,Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, Assistant Engineer-Member",Prithi Pal Singh,29-Feb-2020 02:31 PM,06-Mar-2020 11:30 AM,techsummary_51940.pdf (211.65 KB),"Executive Engineer-Chairman,",Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,01-Sep-2020 05:53 PM,finsummary_51940.pdf (129.58 KB),01-Sep-2020,"INR 957,367",90.0,Prithi Pal Singh,01-Sep-2020 05:55 PM,35353.PDF (132.00 KB),1.0,151613.0,Kushal Kumar,27-Feb-2020 08:58 PM,Rejected-Finance,L2,01-Sep-2020 05:54 PM,Technical,Admitted,Prithi Pal Singh,28-Feb-2020 03:49 PM,None,1.0,151638.0,Pawan Thakur,INR,"1,297,266",Finance,Admitted,Prithi Pal Singh,06-Mar-2020 07:45 PM,None,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,2.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,2.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,151638.0,Pawan Thakur,28-Feb-2020 10:03 AM,Accepted-AOC,L1,01-Sep-2020 05:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,,,,,,,,,,,,,3.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
