Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Technical,Pretechbid,Swaroop Kumar,17-Mar-2020 10:30 AM,technical_51950.pdf,1.0,152095.0,MOHINDER PAL GOVT. CONTRACTOR,03-Mar-2020 09:57 AM,Accepted-AOC,Lowest,06-Sep-2020 05:30 PM,1.0,152095.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"1,071,944",Finance,Summary,Swaroop Kumar,06-Jul-2020 03:31 PM,finance_51950.pdf,BOQ Comparative Chart,17-Aug-2020,"INR 745,033",90.0,Arvind Lakhanpal,06-Sep-2020 05:29 PM,NadaunSujanpur16.300.pdf (728.00 KB),award,EE,Internal,Supdt/HDM/AE,Swaroop Kumar,06-Jul-2020 04:04 PM,finsummary_51950.pdf (517.20 KB),EE,Internal,SUPDT/AE,Swaroop Kumar,17-Mar-2020 10:41 AM,17-Mar-2020 03:30 PM,techsummary_51950.pdf (570.89 KB),PWD,2020_PWD_35361_1,PW/TDD/GA-NIT/2019-20-16136 dt. 11.02.2020,Restoration of rain damages on Naduan Sujanpur road Km 14/600 to 20/870,AOC,350.0,EE Tauni Devi,Hamipur,Yes,1.0,DD - Demand Draft,"19,500",Yes,fixed,,EE Tauni Devi,Hamirpur,PWD,PW/TDD/GA-NIT/2019-20-16136 dt. 11.02.2020,2020_PWD_35361_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,22-Feb-2020 06:30 PM,03-Mar-2020 11:00 AM,22-Feb-2020 06:30 PM,03-Mar-2020 10:30 AM,NA ,NA ,22-Feb-2020 06:30 PM,03-Mar-2020 10:30 AM,17-Mar-2020 03:30 PM,Restoration of rain damages on Naduan Sujanpur road Km 14/600 to 20/870,P/L GSB WMM and BM in Km.18/300 to 18/690,Please refer Tender documents. ,NA ,"9,73,998",Civil Works,NA ,Tender,60.0,90.0,"Executive Engineer, HPPWD Division Tauni Devi",177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD payable at Hamipur,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",AOC
,,,,,2.0,152151.0,SANJAY KUMAR GOVT CONTRACTOR,03-Mar-2020 10:10 AM,Rejected-AOC,Higher,06-Sep-2020 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTS Registration (General Rule 21) and GST clearance retuned required,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery according to works item-.Self ownership authenticity/Leased document proof Mandatory,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,AOC
