S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,151391.0,S.S.Chauhans Construction Private Limted,INR,"25,709,665",Finance,Admitted,Prithi Pal Singh,11-Mar-2020 12:52 PM,None,BOQ Comparative Chart,Technical,Admitted,Prithi Pal Singh,02-Mar-2020 12:06 PM,None,1.0,151588.0,DEEPAK JOSHI,29-Feb-2020 04:01 PM,Rejected-Finance,L2,24-Sep-2020 04:09 PM,"Executive Engineer-Chairman,",Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,24-Sep-2020 04:08 PM,finsummary_52248.pdf (133.20 KB),24-Sep-2020,"INR 22,092,304",120.0,Prithi Pal Singh,24-Sep-2020 04:14 PM,35590.PDF (133.00 KB),PWD,2020_PWD_35590_1,PW-SKT-CB-Tender/20-19403-06 dt.01.02.2020,Perodical Renewal on Joginder Nagar Sarkaghat Ghumarwin road for the year 2020-21,Executive Engineer,Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,04-Mar-2020 06:41 PM,11-Mar-2020 11:30 AM,techsummary_52248.pdf (201.46 KB),AOC,Executive Engineer,"Executive Engineer, Sarkaghat Division, HP.PWD., Sarkaghat",Perodical Renewal on Joginder Nagar Sarkaghat Ghumarwin road for the year 2020-21,"(SH- Providing and laying 30 mm thick Bitumen Concrete, Thermoplastic paint strip and cat eye km 62/ 0 to72/0)",Please refer Tender documents. ,NA ,"2,20,92,304",Civil Works - Roads,NA ,Tender,90.0,120.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkaghat,No ,No,PWD,PW-SKT-CB-Tender/20-19403-06 dt.01.02.2020,2020_PWD_35590_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,58,832",No,fixed,,EE Sarkaghat,Sarkaghat,26-Feb-2020 11:00 AM,02-Mar-2020 11:30 AM,26-Feb-2020 11:00 AM,02-Mar-2020 11:00 AM,26-Feb-2020 11:00 AM ,02-Mar-2020 11:00 AM ,26-Feb-2020 11:00 AM,02-Mar-2020 11:00 AM,11-Mar-2020 11:30 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,1.0,DD - Demand Draft,"5,000",EE Sarkaghat,Sarkaghat,No,AOC
,,,,,,,,,,,,,,,,2.0,151391.0,S.S.Chauhans Construction Private Limted,01-Mar-2020 04:14 PM,Accepted-AOC,L1,24-Sep-2020 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,AOC
