Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
17-Sep-2020,"INR 15,140,560",60.0,Sanjiv Kumar Agnihotri,17-Sep-2020 01:44 PM,AOC.pdf (1238.00 KB),Work Awarded,Er.Sanjive Kumar EE,Internal,HDM AO Supdt,Sanjiv Kumar Agnihotri,29-Jun-2020 05:49 PM,finsummary_55882.pdf (524.04 KB),Er. Sanjiv Kumar EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,29-Jun-2020 03:51 PM,29-Jun-2020 04:30 PM,techsummary_55882.pdf (654.35 KB),PWD,2020_PWD_37942_1,No.PW.BGN.CB.T-1-2573-83 dated 08.06.2020,Periodical Maintenance of Una Barsar Bhambla Kalkhar Nerchowk road,Technical,Tech Bid Opened,Sanjiv Kumar Agnihotri,29-Jun-2020 03:47 PM,technical_55882.pdf,1.0,162812.0,M/S R.R.Builders,16-Jun-2020 03:32 PM,Accepted-AOC,Lowest,17-Sep-2020 01:45 PM,Finance,Fin bid opened,Sanjiv Kumar Agnihotri,29-Jun-2020 05:44 PM,finance_55882.pdf,BOQ Comparative Chart,1.0,162812.0,M/S R.R.Builders,INR,"15,140,560",AOC,10-Jun-2020 11:00 AM,17-Jun-2020 11:00 AM,10-Jun-2020 11:30 AM,16-Jun-2020 06:00 PM,NA ,NA ,10-Jun-2020 11:30 AM,16-Jun-2020 06:00 PM,29-Jun-2020 04:30 PM,1.0,DD - Demand Draft,"2,01,500",Yes,fixed,,Executive Engineer HPPWD Bangana,Bangana,Executive Engineer HPPWD Bangana,Executive Engineer HPPWD Bangana,Periodical Maintenance of Una Barsar Bhambla Kalkhar Nerchowk road,P/L 40mm thick Bitumenous Concrete in Km 28/000 to 33/000 including culvert at RD 28/200 and 500 meter Drain,Please refer Tender documents. ,NA ,"1,68,92,442",Civil Works - Roads,NA ,Tender,120.0,60.0,Executive Engineer Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Bangana,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"5,000",Executive Engineer HPPWD Bangana,Bangana,No,PWD,No.PW.BGN.CB.T-1-2573-83 dated 08.06.2020,2020_PWD_37942_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,162841.0,R.D. DUVEDI,16-Jun-2020 04:59 PM,Rejected-AOC,Higher side,17-Sep-2020 01:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,162251.0,S.S.Chauhans Construction Private Limted,16-Jun-2020 12:44 PM,Rejected-AOC,Higher side,17-Sep-2020 01:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,AOC
