Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
09-Dec-2019 09:00 AM,27-Dec-2019 11:00 AM,09-Dec-2019 09:00 AM,26-Dec-2019 05:00 PM,NA ,NA ,09-Dec-2019 09:00 AM,26-Dec-2019 05:00 PM,31-Dec-2019 12:05 PM,Construction of Rister Panwa Dharoti Madhoura Nagol road km 0/0 to 6/500 (SH C/O formation cuting in Km. 1/500 to 1/950 C/O 900mm dia RCC Hume pipe culvert alongwith both side wing wall at RD 1/255). Under SCSP.,Construction of Rister Panwa Dharoti Madhoura Nagol road km 0/0 to 6/500 (SH C/O formation cuting in Km. 1/500 to 1/950 C/O 900mm dia RCC Hume pipe culvert alongwith both side wing wall at RD 1/255). Under SCSP.,Please refer Tender documents. ,NA ,"5,14,394",Civil Works - Roads,NA ,Tender,90.0,120.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,350.0,EE RAJGARH,RAJGARH,No,PWD,SCSP,2019_PWD_33214_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,"11,000",No,fixed,,EE RAJAGRH,RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,AOC,Finance,SUMMARY,Kishan Lal Chaudhary,01-Jan-2020 12:49 PM,finance_47864.pdf,BOQ Comparative Chart,1.0,142151.0,Bhaskar Dutt,INR,"613,266",1.0,142151.0,Bhaskar Dutt,25-Dec-2019 03:54 PM,Accepted-AOC,L1,05-Sep-2020 06:31 PM,Technical,SUMMARY,Kishan Lal Chaudhary,28-Dec-2019 12:01 PM,technical_47864.pdf,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Kishan Singh Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,31-Dec-2019 12:01 PM,31-Dec-2019 12:05 PM,techsummary_47864.pdf (854.84 KB),PWD,2019_PWD_33214_1,SCSP,Construction of Rister Panwa Dharoti Madhoura Nagol road km 0/0 to 6/500 (SH C/O formation cuting in Km. 1/500 to 1/950 C/O 900mm dia RCC Hume pipe culvert alongwith both side wing wall at RD 1/255). Under SCSP.,05-Sep-2020,"INR 514,394",120.0,Narender verma,05-Sep-2020 06:31 PM,AOC69.pdf (1041.00 KB),WORK AWARDED TO SH. BHASKAR DUTT,Er. K.L Chaudhary,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Shh. kISHAn Singh Supdtt G-II Smt. Asha Kamal HDM,. Sh. Ghan Shyam Jr. Asstt.",Narender verma,05-Sep-2020 06:28 PM,finsummary_47864.pdf (700.72 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,AOC,,,,,,,,,,,,2.0,142497.0,H.N.Bhardwaj,25-Dec-2019 09:26 PM,Rejected-AOC,L4,05-Sep-2020 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,AOC,,,,,,,,,,,,3.0,141098.0,Jagmohan Singh,19-Dec-2019 07:36 AM,Rejected-AOC,L3,05-Sep-2020 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,AOC,,,,,,,,,,,,4.0,142499.0,RAVI DUTT CONTRACTOR,26-Dec-2019 12:05 PM,Rejected-AOC,L5,05-Sep-2020 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,AOC,,,,,,,,,,,,5.0,142238.0,SAHDEV SINGH,24-Dec-2019 09:16 PM,Rejected-AOC,L2,05-Sep-2020 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
