Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er.Ramesh Singh EE,Internal,"Chaman Lal AE, Kehar Singh Supdt (A) Pankaj Chandel HDM",Ramesh Singh,15-Aug-2020 12:19 PM,finsummary_45634.pdf (127.86 KB),13-Sep-2020,"INR 2,454,716",365.0,Ramesh Singh,13-Sep-2020 02:23 PM,24.pdf (290.00 KB),AOC,PWD,2019_PWD_31699_1,9073-93 dt. 12.09.2019,"Construction of 2 Nos Type-III Quarters for PWD Staff at Gohar Tehsil Chachiot, Distt. Mandi HP",Er.Ramesh Singh,Internal,"Er.Chaman Lal AE, Rattan Lal Supdt.G-II,Kehar Singh Supdt.G-II,Pankaj Chandel HDM.",Ramesh Singh,22-Oct-2019 10:59 AM,25-Oct-2019 11:00 AM,techsummary_45634.pdf (431.37 KB),1.0,133826.0,LEKH RAJ,INR,"2,834,131",Finance,Financial Summary,Ramesh Singh,15-Aug-2020 10:55 AM,finance_45634.pdf,BOQ Comparative Chart,Technical,Technical Summary,Ramesh Singh,22-Oct-2019 10:47 AM,technical_45634.pdf,1.0,133918.0,Chuni lal,13-Oct-2019 11:03 AM,Not Admitted-Finance,Price Bid not complied,15-Aug-2020 10:56 AM,AOC,PWD,9073-93 dt. 12.09.2019,2019_PWD_31699_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"Construction of 2 Nos Type-III Quarters for PWD Staff at Gohar Tehsil Chachiot, Distt. Mandi HP",SH-Const. building portion with W.S and S.I,Please refer Tender documents. ,NA ,"24,54,716",Civil Works - Buildings,NA ,Rate Contract,120.0,365.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,24-Sep-2019 05:00 PM,15-Oct-2019 11:00 AM,24-Sep-2019 05:00 PM,14-Oct-2019 05:00 PM,NA ,NA ,24-Sep-2019 05:30 PM,14-Oct-2019 05:00 PM,25-Oct-2019 11:00 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"44,500",Yes,fixed,,EE Gohar,Gohar,EE HPPWD.Gohar,Xen HPPWD.Gohar,1.0,DD - Demand Draft,500.0,EE Gohar,Gohar,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,133886.0,DUGLA RAM,12-Oct-2019 04:35 PM,Rejected-AOC,L-6,13-Sep-2020 02:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,133826.0,LEKH RAJ,11-Oct-2019 11:00 PM,Accepted-AOC,L-1,13-Sep-2020 02:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,134028.0,MANOJ KUMAR,14-Oct-2019 02:56 PM,Rejected-AOC,L-4,13-Sep-2020 02:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,133954.0,M/S KESHAV CONSTRUCTIONS,14-Oct-2019 12:04 PM,Rejected-AOC,L-2,13-Sep-2020 02:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,134059.0,PAWAN KUMAR,14-Oct-2019 04:04 PM,Rejected-AOC,L-5,13-Sep-2020 02:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40pracent Rule No,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,133948.0,ROOP LAL,13-Oct-2019 06:52 PM,Rejected-AOC,L-3,13-Sep-2020 02:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,133846.0,YADVINDER,12-Oct-2019 12:49 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Oct-2019 10:47 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
