Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,500",EE HPPWD KARSOG,KARSOG,No,KARSOG,EE HPPWD,17-Mar-2020 09:00 AM,26-Mar-2020 09:00 AM,17-Mar-2020 09:00 AM,24-Mar-2020 09:00 AM,NA ,NA ,17-Mar-2020 09:00 AM,24-Mar-2020 09:00 AM,05-May-2020 01:10 PM,"59,100",No,fixed,,EE HPPWD KARSOG,KARSOG,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,DD - Demand Draft,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,Periodic Maintenance on Parga Banyas road road VR-0069,"Periodic Maintenance on Parga Banyas road road VR-0069 (SHProviding and Laying 30 mm Bituminous concrete including profile correction, Thermoplastic paint and V-Shape drain in Km 0/00 to 3/500).",Please refer Tender documents. ,NA ,"34,38,875",Civil Works - Roads,NA ,Tender,30.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,KARSOG,No ,No,PWD,PWKSG_E TENDER/2019-20 91441-51,2020_PWD_36313_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,OK,Maan Singh,30-Sep-2020 03:01 PM,finance_53563.pdf,BOQ Comparative Chart,1.0,156102.0,SURESH SHARMA GOVT CONTRACTOR,INR,"4,564,531",1.0,156124.0,PUNEET GOVT CONT,20-Mar-2020 08:12 PM,Rejected-Finance,L2,30-Sep-2020 04:53 PM,Technical,ATTCHED,Maan Singh,05-May-2020 01:01 PM,technical_53563.pdf,PWD,2020_PWD_36313_2,PWKSG_E TENDER/2019-20 91441-51,Periodic Maintenance on Parga Banyas road road VR-0069,MAAN SINGH,Internal,,Maan Singh,05-May-2020 01:06 PM,05-May-2020 01:10 PM,techsummary_53563.pdf (699.73 KB),MAAN SINGH,Internal,,Maan Singh,30-Sep-2020 04:51 PM,finsummary_53563.pdf (242.03 KB),30-Sep-2020,"INR 5,184,383.85",90.0,Maan Singh,30-Sep-2020 04:53 PM,GHANSHYAM.pdf (242.00 KB),,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,156102.0,SURESH SHARMA GOVT CONTRACTOR,20-Mar-2020 06:55 PM,Accepted-AOC,OK,30-Sep-2020 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
