Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
01-Nov-2019 01:00 PM,14-Nov-2019 11:00 AM,01-Nov-2019 01:00 PM,13-Nov-2019 05:00 PM,NA ,NA ,01-Nov-2019 01:00 PM,13-Nov-2019 05:00 PM,30-Nov-2019 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Enlistment (As per NIT conditions),"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,HP SIDC Limited,Job No. 1,2019_SIDC_32403_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Ltd. Shimla,"Construction of ITI Building at Dalash, Tehsil Anni, Distt. Kullu (HP).","Construction of ITI Building at Dalash, Tehsil Anni, Distt. Kullu (HP).",Please refer Tender documents. ,NA ,"3,36,34,155",Civil Works - Buildings,NA ,Tender,120.0,720.0,Dalash (Kullu),172025.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,"6,72,700",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,AOC,Finance,Financial summary,Sushant Singh Negi,05-Dec-2019 10:11 AM,finance_46608.pdf,BOQ Comparative Chart,Technical,Opening summary,Sushant Singh Negi,15-Nov-2019 02:16 PM,technical_46608.pdf,SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,29-Nov-2019 05:04 PM,30-Nov-2019 11:00 AM,techsummary_46608.pdf (799.03 KB),1.0,136045.0,Devi Ram Gauta,13-Nov-2019 04:19 PM,Rejected-Finance,Third lowest bidder,05-Dec-2019 10:15 AM,01-Jul-2020,"INR 46,032,912",720.0,Sushant Singh Negi,24-Sep-2020 04:18 PM,dalashcivil.pdf (1495.00 KB),Award letter,1.0,135867.0,Pankaj Gupta,INR,"46,032,912",SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,05-Dec-2019 10:15 AM,finsummary_46608.pdf (336.79 KB),HP SIDC Limited,2019_SIDC_32403_1,Job No. 1,"Construction of ITI Building at Dalash, Tehsil Anni, Distt. Kullu (HP).",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,135867.0,Pankaj Gupta,13-Nov-2019 02:26 PM,Accepted-AOC,Lowest bidder,24-Sep-2020 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,135706.0,Tenzin Construction Co. Pvt. Ltd.,12-Nov-2019 05:55 PM,Rejected-Finance,Second lowest bidder,05-Dec-2019 10:15 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of latest ITR and Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of work done Certificate (as per NIT conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of Financial Turnover (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of Solvency Certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
