Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
01-Sep-2020,"INR 617,238",90.0,Prithi Pal Singh,01-Sep-2020 05:22 PM,35308.PDF (134.00 KB),Executive Engineer,Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,01-Sep-2020 05:19 PM,finsummary_51811.pdf (130.73 KB),Executive Engineer,Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, Assistant Engineer-Member",Prithi Pal Singh,28-Feb-2020 11:48 AM,03-Mar-2020 11:30 AM,techsummary_51811.pdf (219.82 KB),PWD,2020_PWD_35308_1,PW-SKT-CB-Tender/2019-20 18940-43 dated 27.01.,Restoration of Rain Damages on Durgapur KathoganRissa road Km. 0/0 to 24/0,Finance,Admitted,Prithi Pal Singh,03-Mar-2020 12:48 PM,None,BOQ Comparative Chart,1.0,150837.0,Pawan Thakur,INR,"912,353",Technical,Admitted,Prithi Pal Singh,27-Feb-2020 12:36 PM,None,1.0,150837.0,Pawan Thakur,25-Feb-2020 10:34 AM,Accepted-AOC,Lowest Bidder,01-Sep-2020 05:22 PM,AOC,Restoration of Rain Damages on Durgapur KathoganRissa road Km. 0/0 to 24/0,(SH- Construction of Retaining wall in PCC 1.5.10 at RD 10/930 to 10/945)OTMNP,Please refer Tender documents. ,NA ,"6,17,238",Civil Works - Roads,NA ,Tender,90.0,90.0,SARKAGHAT,175024.0,NA ,NA ,NA ,SARKAGHAT,No ,No,Executive Engineer,"Sarkaghat Division, HP.PWD., Sarkaghat",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,"12,350",No,fixed,,EE Sarkaghat,Sarkaghat,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,20-Feb-2020 09:00 AM,25-Feb-2020 11:30 AM,20-Feb-2020 09:00 AM,25-Feb-2020 11:00 AM,20-Feb-2020 09:00 AM ,25-Feb-2020 11:00 AM ,20-Feb-2020 09:00 AM,25-Feb-2020 11:00 AM,03-Mar-2020 11:30 AM,PWD,PW-SKT-CB-Tender/2019-20 18940-43 dated 27.01.,2020_PWD_35308_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Sarkaghat,Sarkaghat,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,150802.0,ROSHAN LAL SHARMA,24-Feb-2020 08:56 PM,Rejected-Finance,2nd Lowest,01-Sep-2020 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,2.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,3.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
