S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Corrigendum,Date,,Construction of 50 bedded Civil Hospital at Banjar District Kullu HP SH Providing Electrical Installation therein,Construction of 50 bedded Civil Hospital at Banjar District Kullu HP SH Providing Electrical Installation therein,Please refer to NIT and bid document ,NA ,"38,51,328",Electrical Works,NA ,Tender,120.0,365.0,Banjar,175123.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi HP,"65,300",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,"1,500",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,PWD,PW/MED/TA/ NIT/e-notice/18-19-2469-74 dt 05.07.18,2018_PWD_22679_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,04-Aug-2018 10:00 AM,21-Aug-2018 11:30 AM,04-Aug-2018 10:00 AM,21-Aug-2018 10:00 AM,NA ,NA ,04-Aug-2018 10:00 AM,21-Aug-2018 10:00 AM,30-Aug-2018 01:00 PM,AOC,1.0,92010.0,D.S Ranta Electrical Contractor,INR,"4,568,065",Finance,financial bid summary,Dalip singh Patial,31-Aug-2018 01:04 PM,finance_31846.pdf,BOQ Comparative Chart,1.0,92163.0,AKSHAY KUMAR,18-Aug-2018 05:45 PM,Rejected-AOC,rejected being L2 contractor,01-Sep-2020 02:48 PM,Technical,technical bid summary,Dalip singh Patial,30-Aug-2018 12:47 PM,technical_31846.pdf,PWD,2018_PWD_22679_1,PW/MED/TA/ NIT/e-notice/18-19-2469-74 dt 05.07.18,Construction of 50 bedded Civil Hospital at Banjar District Kullu HP SH Providing Electrical Installation therein,Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Naresh Sharma EO Sh Jeet Ram Supdt,Dalip singh Patial,30-Aug-2018 12:49 PM,30-Aug-2018 01:00 PM,techsummary_31846.pdf (1109.16 KB),Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Amar Singh Draughtsman Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,31-Aug-2018 01:12 PM,finsummary_31846.pdf (691.97 KB),13-Aug-2020,"INR 4,568,065",365.0,Dalip singh Patial,01-Sep-2020 02:48 PM,AOC.pdf (1519.00 KB),work awarded to Sh D S Ranta Electrical Contractor Class A being L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,,,,,,,,,,,,2.0,92010.0,D.S Ranta Electrical Contractor,18-Aug-2018 05:02 PM,Accepted-AOC,work awarded being L1 contractor,01-Sep-2020 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in appropriate Class A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,91888.0,SUNIL KAPOOR,14-Aug-2018 07:39 PM,Rejected-Technical,bid non responsive,30-Aug-2018 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid electrical license REFER GENERAL RULES NO 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"SALES TAX (GST), REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERMANENT ACCOUNT NUMBER (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
