Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
26-May-2020 05:00 PM,10-Jun-2020 02:00 PM,26-May-2020 05:00 PM,09-Jun-2020 12:00 PM,NA ,NA ,26-May-2020 05:00 PM,09-Jun-2020 12:00 PM,23-Jun-2020 02:30 PM,Periodical maintenance on Churag to Patti road VR- 007629,"Periodical maintenance on Churag to Patti road VR- 007629 (Sub Head- Providing and laying 30 mm bituminous concrete, profile correction, Thermoplastic paint and V-shaped drain in Km. 1/00 to 2/00)",Please refer Tender documents. ,NA ,"9,82,585",Civil Works - Roads,NA ,Tender,180.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,PWD OFFICE KARSOG,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,EE KARSOG,EE KARSOG,1.0,DD - Demand Draft,PWD,PW_KSG_E-Tenders/19-20/6-10,2020_PWD_37522_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"19,700",Yes,fixed,,EE Karsog,Karsog,"1,000",EE Karsog,Karsog,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,PWD,2020_PWD_37522_8,PW_KSG_E-Tenders/19-20/6-10,Periodical maintenance on Churag to Patti road VR- 007629,ARVIND BHARDWAJ,Internal,,BHAL CHAND THAKUR,23-Jun-2020 02:26 PM,23-Jun-2020 02:30 PM,techsummary_55310.pdf (522.97 KB),MAAN SINGH,Internal,,BHAL CHAND THAKUR,30-Sep-2020 05:58 PM,finsummary_55310.pdf (163.53 KB),30-Sep-2020,"INR 1,474,788.5",90.0,BHAL CHAND THAKUR,30-Sep-2020 05:59 PM,PUNEET.pdf (164.00 KB),OK,Finance,OK,BHAL CHAND THAKUR,30-Sep-2020 01:57 PM,finance_55310.pdf,BOQ Comparative Chart,1.0,161532.0,PUNEET GOVT CONT,INR,"1,304,212",1.0,161532.0,PUNEET GOVT CONT,08-Jun-2020 12:02 PM,Accepted-AOC,OK,30-Sep-2020 06:00 PM,Technical,ATTACHED,BHAL CHAND THAKUR,23-Jun-2020 02:00 PM,technical_55310.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,161538.0,SURESH SHARMA GOVT CONTRACTOR,07-Jun-2020 07:10 PM,Rejected-Finance,OK,30-Sep-2020 05:59 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
