Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er.Manoj Sehgal,Internal,"Supdt. Gr-II,HDM,DA",Manoj Kumar Sehgal,30-Sep-2020 03:50 PM,finsummary_47151.pdf (686.29 KB),30-Sep-2020,"INR 2,642,123",180.0,Manoj Kumar Sehgal,30-Sep-2020 03:52 PM,p.pdf (379.00 KB),AOC,PWD,2019_PWD_32696_1,PW-KMS-AB-NIT/2019-7939-40 dt.07.11.2019,C/O link road from Kepu to Harijan Basti Arthi Km 0/0 to 3/0 SH Formation Cutting C/O R/Walla B/Walls Wire Crate walls C/O RCC Hume Pipe Culvert and Kharanja Stone Soling at various Rds,Er.Manoj Sehgal,Internal,Supdt Gr-II HDM and Senior Assistant,Manoj Kumar Sehgal,05-Dec-2019 04:00 PM,05-Dec-2019 04:05 PM,techsummary_47151.pdf (167.73 KB),1.0,137876.0,Rohitashav Singh Mehta,INR,"2,642,123",Finance,Technical evaluation summary,Manoj Kumar Sehgal,05-Dec-2019 04:27 PM,finance_47151.pdf,BOQ Comparative Chart,Technical,Bid Opening summary,Manoj Kumar Sehgal,03-Dec-2019 04:00 PM,technical_47151.pdf,1.0,138013.0,ANKUSH,30-Nov-2019 04:23 PM,Rejected-Technical,Reject,05-Dec-2019 04:00 PM,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),Executive Engineer,Kumarsain Division HPPWD Kumarsain,PWD,PW-KMS-AB-NIT/2019-7939-40 dt.07.11.2019,2019_PWD_32696_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O link road from Kepu to Harijan Basti Arthi Km 0/0 to 3/0 SH Formation Cutting C/O R/Walla B/Walls Wire Crate walls C/O RCC Hume Pipe Culvert and Kharanja Stone Soling at various Rds,C/O link road from Kepu to Harijan Basti Arthi Km 0/0 to 3/0 SH Formation Cutting C/O R/Walla B/Walls Wire Crate walls C/O RCC Hume Pipe Culvert and Kharanja Stone Soling at various Rds,Please refer Tender documents. ,NA ,"22,30,298",Civil Works,NA ,Tender,90.0,180.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,18-Nov-2019 05:00 PM,02-Dec-2019 11:00 AM,18-Nov-2019 05:30 PM,30-Nov-2019 06:00 PM,NA ,NA ,18-Nov-2019 05:30 PM,30-Nov-2019 06:00 PM,05-Dec-2019 04:05 PM,"41,000",No,fixed,,EE Kumarsain,Kumarsain,500.0,EE Kumarsain,Kumarsain,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,137959.0,Anshul Kainthla,29-Nov-2019 05:55 PM,Rejected-AOC,Reject,30-Sep-2020 03:54 PM,AOC,2.0,BC - Bankers Cheque,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,137958.0,DALIP SINGH GOVT CONTRACTOR,29-Nov-2019 06:05 PM,Rejected-AOC,Reject,30-Sep-2020 03:54 PM,AOC,3.0,FDR - Fixed Deposit,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,137991.0,Naveen Verma,30-Nov-2019 02:36 PM,Rejected-AOC,Reject,30-Sep-2020 03:54 PM,AOC,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,137876.0,Rohitashav Singh Mehta,29-Nov-2019 03:28 PM,Accepted-AOC,Accept,30-Sep-2020 03:54 PM,AOC,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Bill of Quanity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
