Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
30-Sep-2020,"INR 785,897",90.0,Manoj Kumar Sehgal,30-Sep-2020 11:09 AM,b.pdf (311.00 KB),AOC,Er.Manoj Sehgal,Internal,"Supdt. Gr-II,HDM,DA",Manoj Kumar Sehgal,30-Sep-2020 11:04 AM,finsummary_50219.pdf (212.42 KB),ER Manoj Sehgal,Internal,Supdt Gr II HDM and DA,Manoj Kumar Sehgal,17-Feb-2020 03:36 PM,17-Feb-2020 03:40 PM,techsummary_50219.pdf (212.31 KB),PWD,2020_PWD_34394_1,PW-KMS-AB-NIT/2019-10829-30 dt.18.1.2020,C/O road from Dokhari Nallah Rogha Kotgarh via Khobal Nallah Km 0/000 to 2/500 SH Formation Cutting 5/7 mtrs wide road in Km0/000 to 0/555,1.0,149194.0,REENA DEVI,INR,"785,897",Finance,Technical Bid evalutaion summary,Manoj Kumar Sehgal,18-Feb-2020 10:45 AM,finance_50219.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Manoj Kumar Sehgal,14-Feb-2020 10:50 AM,technical_50219.pdf,1,149175,AKSHAY,12-Feb-2020 05:08 PM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,"29,600",No,fixed,,EE Kumarsain,Kumarsain,500.0,EE Kumarsain,Kumarsain,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW-KMS-AB-NIT/2019-10829-30 dt.18.1.2020,2020_PWD_34394_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O road from Dokhari Nallah Rogha Kotgarh via Khobal Nallah Km 0/000 to 2/500 SH Formation Cutting 5/7 mtrs wide road in Km0/000 to 0/555,C/O road from Dokhari Nallah Rogha Kotgarh via Khobal Nallah Km 0/000 to 2/500 SH Formation Cutting 5/7 mtrs wide road in Km0/000 to 0/555,Please refer Tender documents. ,NA ,"14,78,437",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,30-Jan-2020 05:00 PM,13-Feb-2020 11:00 AM,30-Jan-2020 05:30 PM,12-Feb-2020 06:00 PM,NA ,NA ,30-Jan-2020 05:30 PM,12-Feb-2020 06:00 PM,17-Feb-2020 03:40 PM,Executive Engineer,Kumarsain Division HPPWD Kumarsain,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,149046,Anshul Kainthla,12-Feb-2020 02:23 PM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,148848,DHEERAJ PARMAR,10-Feb-2020 01:41 PM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,149200,LOK CHAND,12-Feb-2020 05:27 PM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,148766,Naveen Verma,12-Feb-2020 11:00 AM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,149197,parveen,12-Feb-2020 05:07 PM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,149151,Rajan Rathore,12-Feb-2020 02:13 PM,Rejected-Technical,Reject,17-Feb-2020 03:36 PM,AOC,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,149177,Raman Thakur,12-Feb-2020 04:02 PM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,149194,REENA DEVI,12-Feb-2020 05:07 PM,Accepted-AOC,Accept,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,148745,Rohitashav Singh Mehta,10-Feb-2020 04:50 PM,Rejected-AOC,Reject,30-Sep-2020 11:10 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
