Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Tech bid opened,Sanjiv Kumar Agnihotri,24-Jul-2020 02:12 PM,technical_57119.pdf,1.0,168101.0,Davinder kumar,18-Jul-2020 09:38 AM,Accepted-AOC,OK,29-Sep-2020 01:13 PM,1.0,168101.0,Davinder kumar,INR,"3,274,471",Finance,Fin bid opened,Sanjiv Kumar Agnihotri,25-Jul-2020 06:04 PM,finance_57119.pdf,BOQ Comparative Chart,Er.S.K.Agnihotri EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,25-Jul-2020 06:06 PM,finsummary_57119.pdf (533.39 KB),29-Sep-2020,"INR 3,274,471",30.0,Sanjiv Kumar Agnihotri,29-Sep-2020 01:11 PM,AOC.pdf (1410.00 KB),Work Awarded,PWD,2020_PWD_38671_1,No.PW/BGN/CB/T-1/2020-3521-43 dt.30.06.2020Job4,Periodical Maintenance Balh to Sakon,Er.S.K.Agnihotri EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,24-Jul-2020 02:13 PM,24-Jul-2020 04:00 PM,techsummary_57119.pdf (645.40 KB),AOC,1.0,DD - Demand Draft,"55,200",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,"1,500",Executive Engineer HPPWD Division Bangana,Bangana,Yes,Periodical Maintenance Balh to Sakon,P/L 25 mm thick Bituminious Concrete including profile correction in km. 0/000 to 4/015,Please refer Tender documents. ,NA ,"31,77,357",Civil Works,NA ,Tender,120.0,30.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),PWD,No.PW/BGN/CB/T-1/2020-3521-43 dt.30.06.2020Job4,2020_PWD_38671_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,08-Jul-2020 11:00 AM,20-Jul-2020 11:00 AM,08-Jul-2020 11:30 AM,18-Jul-2020 06:00 PM,NA ,NA ,08-Jul-2020 11:30 AM,18-Jul-2020 06:00 PM,24-Jul-2020 04:00 PM,AOC
,,,,,2.0,168103.0,Mehar Chand,18-Jul-2020 09:49 AM,Rejected-Technical,Non-Responsive,24-Jul-2020 02:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,AOC
