Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"2,000",EE Dhami,Dhami,No,Construction of link road from Bhajar to Devidhar km 0/00 to 2/200,"SH Poviding and Laying WBM grade-I,II and Metalling andTarring in km 0/00 to 2/200, Construction of RCC Hume Pipe Culverts at various Rds and Construction of Road Side V-Shape drain in km 0/00 to 2/200",Please refer Tender documents. ,NA ,"40,37,435",Civil Works - Roads,NA ,Tender,120.0,120.0,DHAMI,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,10-Feb-2020 06:00 PM,19-Feb-2020 11:00 AM,10-Feb-2020 06:00 PM,18-Feb-2020 05:00 PM,NA ,NA ,10-Feb-2020 06:00 PM,18-Feb-2020 05:00 PM,02-Mar-2020 02:05 PM,1.0,AOC,AOC,,"69,000",No,fixed,,EE Dhami,Dhami,PWD,PW-SRDD-CB- CTR 2019-20- 18751 DT.21.01.2020,2020_PWD_34776_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),EE Dhami,Shimla Rural Division HPPWD Dhami,1.0,DD - Demand Draft,AOC,1.0,149896.0,PAWAN SHARMA,17-Feb-2020 07:17 PM,Accepted-AOC,L1,29-Sep-2020 11:43 AM,Technical,Bid Opening Summary,Ajay Kumar Soni,19-Feb-2020 01:04 PM,technical_50984.pdf,1.0,149896.0,PAWAN SHARMA,INR,"4,929,439",Finance,Financial Bid Opening Summary,Ajay Kumar Soni,02-Mar-2020 02:24 PM,finance_50984.pdf,BOQ Comparative Chart,Er. Sudhir Kumar Gupta,Internal,Sh. Ram Swaroop Supdtt. Sh. Prem Raj Meena DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Ajay Kumar Soni,02-Mar-2020 02:02 PM,02-Mar-2020 02:05 PM,techsummary_50984.pdf (234.15 KB),PWD,2020_PWD_34776_1,PW-SRDD-CB- CTR 2019-20- 18751 DT.21.01.2020,Construction of link road from Bhajar to Devidhar km 0/00 to 2/200,26-Sep-2020,"INR 4,037,435",120.0,Sudhir Kumar Gupta,29-Sep-2020 11:40 AM,AOCdevidharBhajar.pdf (543.00 KB),AOC,ErSudhirKumarGuptaEE,Internal,ShPremRajMeenDAOShRamSawaroopSupdtShSureshKumarVermaHDM,Sudhir Kumar Gupta,26-Sep-2020 04:39 PM,finsummary_50984.pdf (199.28 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,2.0,FDR - Fixed Deposit,AOC,2.0,149873.0,Pramod Kumar Sharma,18-Feb-2020 11:06 AM,Rejected-Finance,L2,26-Sep-2020 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
