EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,32,000",No,fixed,,EE Sarkaghat,Sarkaghat,"2,000",EE Sarkaghat,Sarkaghat,No,20-Feb-2020 12:30 PM,25-Feb-2020 01:00 PM,20-Feb-2020 12:30 PM,25-Feb-2020 12:30 PM,20-Feb-2020 12:30 PM ,25-Feb-2020 12:30 PM ,20-Feb-2020 12:30 PM,25-Feb-2020 12:30 PM,03-Mar-2020 11:30 AM,PWD,PW-SKT-CB-Tender/2019-16047-49 dt. 23.12.2019,2020_PWD_35321_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,1.0,DD - Demand Draft,EXECUTIVE ENGINEER,"Sarkaghat Division, HP.PWD. Sarkaghat",Construction of Wrestling Stadium at Baira (Pingla) Sub- Tehsil Bhadrota Distt. Mandi (HP),"(SH- Construction of retaining wall sitting tier and formation cutting of link road for wrestling stadium retaining wall, breast wall) (Deposit work)",Please refer Tender documents. ,NA ,"99,53,225",Civil Works - Others,NA ,Tender,90.0,270.0,SARKAGHAT,175024.0,NA ,NA ,NA ,SARKAGHAT,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,CORRIGENDUM,Date,,AOC,Finance,Admitted,Prithi Pal Singh,03-Mar-2020 01:01 PM,None,BOQ Comparative Chart,1.0,150850.0,YOG RAJ GOVT CONT,INR,"12,403,027",1.0,150568.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,25-Feb-2020 12:11 AM,Not Admitted-Finance,Not qualified for AOC,03-Mar-2020 01:01 PM,Technical,Admitted,Prithi Pal Singh,27-Feb-2020 12:14 PM,None,Executive Engineer,Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, Assistant Engineer-Member",Prithi Pal Singh,28-Feb-2020 11:06 AM,03-Mar-2020 11:30 AM,techsummary_51837.pdf (262.01 KB),PWD,2020_PWD_35321_1,PW-SKT-CB-Tender/2019-16047-49 dt. 23.12.2019,Construction of Wrestling Stadium at Baira (Pingla) Sub- Tehsil Bhadrota Distt. Mandi (HP),01-Sep-2020,"INR 9,953,223",270.0,Prithi Pal Singh,01-Sep-2020 05:38 PM,35321.PDF (140.00 KB),Executive Engineer-,Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,01-Sep-2020 05:35 PM,finsummary_51837.pdf (129.90 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,2.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,AOC,,,,,,,,,,,,2.0,150521.0,Ajay Kumar Thakur,25-Feb-2020 10:56 AM,Rejected-Finance,L3,01-Sep-2020 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,,,,,,,,,,,,,,,,,3.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,AOC,,,,,,,,,,,,3.0,150537.0,Kumar Associates,23-Feb-2020 11:30 AM,Rejected-Finance,L4,01-Sep-2020 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,150850.0,YOG RAJ GOVT CONT,25-Feb-2020 11:36 AM,Accepted-AOC,L1,01-Sep-2020 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,150656.0,YOG RAJ SHARMA,24-Feb-2020 03:05 PM,Rejected-Finance,L2,01-Sep-2020 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
