Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Summary,Swaroop Kumar,06-Jul-2020 03:15 PM,finance_53478.pdf,BOQ Comparative Chart,1.0,156835.0,Piar Chand Chauhan,INR,"2,159,588",Technical,Summary,Swaroop Kumar,18-May-2020 04:29 PM,technical_53478.pdf,1.0,156835.0,Piar Chand Chauhan,16-Apr-2020 01:19 PM,Accepted-AOC,Lowest,06-Sep-2020 05:53 PM,EE,Internal,SUPDT/HDM/AE,Swaroop Kumar,06-Jul-2020 04:51 PM,finsummary_53478.pdf (521.15 KB),17-Jul-2020,"INR 1,832,829",60.0,Arvind Lakhanpal,06-Sep-2020 05:52 PM,BohniChheorin.pdf (765.00 KB),award,PWD,2020_PWD_36256_1,No.PW/TDD/GA-NIT/2019dt.,Periodical renewal on Bohni Chheorin Kakriar road Km 0/0 to 4/910,EE,Internal,Tender Committee Members,Swaroop Kumar,18-May-2020 04:44 PM,19-May-2020 03:30 PM,techsummary_53478.pdf (537.27 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,1.0,DD - Demand Draft,500.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,Periodical renewal on Bohni Chheorin Kakriar road Km 0/0 to 4/910,"P/L 30mm thick bitumen concrete, interlocking, PCC drain ,missing Km, stone and 2.5mm thick road marking thermoplastic strip in Km 3/0 to 4/0 , 4/0 to 4/910). HP0302VR0052",Please refer Tender documents. ,NA ,"18,32,829",Civil Works,NA ,Tender,90.0,60.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,PWD,No.PW/TDD/GA-NIT/2019dt.,2020_PWD_36256_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Further date postpone/extended,Date,,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",17-Mar-2020 06:30 PM,08-May-2020 11:00 AM,17-Mar-2020 06:30 PM,08-May-2020 10:30 AM,NA ,NA ,17-Mar-2020 06:30 PM,08-May-2020 10:30 AM,19-May-2020 03:30 PM,"35,000",Yes,fixed,,EE Tauni Devi,Hamirpur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Technical Affidavit or Undertaking,Other,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
