Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage
Finance,OK,Maan Singh,30-Sep-2020 05:21 PM,finance_53565.pdf,BOQ Comparative Chart,1.0,156106.0,SOM KRISHAN GOVT CONTRACTOR,INR,"4,390,811",Technical,ATTACHED,Maan Singh,05-May-2020 12:48 PM,technical_53565.pdf,1.0,156085.0,PURANCHAND GOVT OCNT,20-Mar-2020 07:46 PM,Rejected-Finance,OK,30-Sep-2020 05:26 PM,MAAN SINGH,Internal,,Maan Singh,30-Sep-2020 05:24 PM,finsummary_53565.pdf (232.89 KB),30-Sep-2020,"INR 5,184,371.84",90.0,Maan Singh,30-Sep-2020 05:27 PM,SOMKRISHAN.pdf (233.00 KB),,PWD,2020_PWD_36313_4,PWKSG_E TENDER/2019-20 91441-51,Construction of additional accommodation for Govt. Sr.Sec. School building at Mehandi in Tehsil Karsog Distt. Mandi (H.P.) (SH Construction of Laboratory three class room one store including Stair Case).,MAAN SINGH,Internal,,Maan Singh,05-May-2020 01:22 PM,05-May-2020 01:25 PM,techsummary_53565.pdf (724.82 KB),AOC,"48,700",No,fixed,,EE KARSOG,KARSOG,EE HPPWD KARSOG,KARSOG,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,DD - Demand Draft,17-Mar-2020 09:00 AM,26-Mar-2020 09:00 AM,17-Mar-2020 09:00 AM,24-Mar-2020 10:00 AM,NA ,NA ,17-Mar-2020 09:00 AM,24-Mar-2020 10:00 AM,05-May-2020 01:25 PM,"1,500",EE HPPWD KARSOG,KARSOG,No,Construction of additional accommodation for Govt. Sr.Sec. School building at Mehandi in Tehsil Karsog Distt. Mandi (H.P.) (SH Construction of Laboratory three class room one store including Stair Case).,Construction of additional accommodation for Govt. Sr.Sec. School building at Mehandi in Tehsil Karsog Distt. Mandi (H.P.) (SH Construction of Laboratory three class room one store including Stair Case).,Please refer Tender documents. ,NA ,"27,43,085",Civil Works - Buildings,NA ,Tender,30.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,KARSOG,No ,No,PWD,PWKSG_E TENDER/2019-20 91441-51,2020_PWD_36313_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,AOC
,,,,,,,,,,,,,,,,2.0,156106.0,SOM KRISHAN GOVT CONTRACTOR,20-Mar-2020 07:40 PM,Accepted-AOC,L1,30-Sep-2020 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,PAN No.,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
