Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),"62,300",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 2,2020_SIDC_37916_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Sub Employment Exchange building at Ghumarwin Distt. Bilaspur (HP).,Construction of Sub Employment Exchange building at Ghumarwin Distt. Bilaspur (HP).,Please refer Tender documents. ,NA ,"36,54,123",Civil Works - Buildings,NA ,Tender,120.0,240.0,Ghumarwin (Bilaspur),174021.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,09-Jun-2020 12:00 PM,30-Jun-2020 11:00 AM,09-Jun-2020 12:00 PM,29-Jun-2020 05:00 PM,NA ,NA ,09-Jun-2020 12:00 PM,29-Jun-2020 05:00 PM,13-Jul-2020 11:00 AM,"4,200",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Ltd. Shimla,AOC,Finance,Financial summary,Sushant Singh Negi,17-Jul-2020 03:08 PM,finance_55846.pdf,BOQ Comparative Chart,Technical,summary,Sushant Singh Negi,10-Jul-2020 01:28 PM,technical_55846.pdf,SE,Internal,"DM, AE(HQ), Dy. Manager(P),EE(HQ)",Sushant Singh Negi,10-Jul-2020 01:29 PM,13-Jul-2020 11:00 AM,techsummary_55846.pdf (573.08 KB),1.0,165237.0,ASHA AND ARYA CONSTRUCTION PVT LTD,29-Jun-2020 02:33 PM,Accepted-AOC,lowest bidder,11-Sep-2020 10:28 AM,03-Sep-2020,"INR 4,616,326",240.0,Sushant Singh Negi,11-Sep-2020 10:27 AM,ghumarwain.pdf (1971.00 KB),Award letter,1.0,165237.0,ASHA AND ARYA CONSTRUCTION PVT LTD,INR,"4,616,326",SE,Internal,"DM,AE(HQ),Dy. Manager(P), EE(HQ)",Sushant Singh Negi,17-Jul-2020 03:12 PM,finsummary_55846.pdf (473.74 KB),HP SIDC Limited,2020_SIDC_37916_1,Job No. 2,Construction of Sub Employment Exchange building at Ghumarwin Distt. Bilaspur (HP).,AOC
,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,2.0,165213.0,PRAHLAD SING NEGI,29-Jun-2020 01:42 PM,Rejected-Finance,Third lowest bidder,17-Jul-2020 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,165039.0,Satish Kumar,29-Jun-2020 03:54 PM,Rejected-Finance,Second lowest bidder,17-Jul-2020 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that you have not more than two works in hand each of Rs. 100.00 lacs or above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of successfully completed work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
