Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer Gohar,Executive Engineer Gohar Division HPPWD Gohar,12-Jun-2019 05:00 PM,25-Jun-2019 11:30 AM,12-Jun-2019 05:00 PM,24-Jun-2019 05:00 PM,NA ,NA ,12-Jun-2019 05:30 PM,24-Jun-2019 05:00 PM,05-Jul-2019 11:00 AM,Construction Assistant District Attorney Office Building Bassa at Gohar Tehsil Chachiot Distt Mandi HP SH Construction of Building Portion including W S and S I,Construction Assistant District Attorney Office Building Bassa at Gohar Tehsil Chachiot Distt Mandi HP SH Construction of Building Portion including W S and S I,Please refer Tender documents. ,NA ,"42,78,301",Civil Works,NA ,Rate Contract,120.0,365.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,"2,000",EE Gohar,Gohar,Yes,"71,100",Yes,fixed,,EE Gohar,Gohar,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,1987-95 dt. 3.6.2019,2019_PWD_29253_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC,1.0,122811.0,Ishant Gupta,24-Jun-2019 04:55 PM,Rejected-AOC,L-2,05-Sep-2020 02:12 PM,Technical,Technical Summery,Ramesh Singh,04-Jul-2019 02:53 PM,technical_42366.pdf,1.0,122781.0,LABH CHAND,INR,"5,537,479",Finance,Financial Summary,Ramesh Singh,15-Aug-2020 11:28 AM,finance_42366.pdf,BOQ Comparative Chart,Er.Ramesh Singh,Internal,"Er. Chaman Lal AE,Kehar Singh Supdt. Rattan Lal Supdt, Pankaj Chandel HDM",Ramesh Singh,04-Jul-2019 02:58 PM,05-Jul-2019 11:00 AM,techsummary_42366.pdf (305.83 KB),PWD,2019_PWD_29253_1,1987-95 dt. 3.6.2019,Construction Assistant District Attorney Office Building Bassa at Gohar Tehsil Chachiot Distt Mandi HP SH Construction of Building Portion including W S and S I,05-Sep-2020,"INR 4,278,302",180.0,Ramesh Singh,05-Sep-2020 02:11 PM,20.pdf (445.00 KB),Er. Ramesh Singh EE,Internal,"Chaman Lal AE,Kehar Singh Supdt., Pankaj Chandel HDM,",Ramesh Singh,15-Aug-2020 01:30 PM,finsummary_42366.pdf (122.55 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,AOC,2.0,122816.0,KULBIR KUMAR,24-Jun-2019 04:52 PM,Rejected-AOC,L-3,05-Sep-2020 02:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC,3.0,122781.0,LABH CHAND,24-Jun-2019 03:25 PM,Accepted-AOC,L-1,05-Sep-2020 02:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40pracent Rule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
