Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
22-Aug-2020 03:00 PM,05-Sep-2020 12:00 PM,22-Aug-2020 03:00 PM,05-Sep-2020 10:00 AM,NA ,NA ,22-Aug-2020 03:00 PM,05-Sep-2020 10:00 AM,05-Sep-2020 03:00 PM,1.0,Corrgendum of raw material of Panjiri 2nd qtr 2020-21,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Scan copy of fees of tender document.,"6,25,000",No,percentage,2.5%,"Manaaging Director, H.P.Milkfed totu",Shimla,1.0,DD - Demand Draft,Managing Director,H.P.Milkfed Totu Shimla,Raw material of Panjiri (2nd qtr 2020-21),Tender for raw material of Panjiri 2nd qtr 2020-21,Please refer Tender documents. ,NA ,"2,50,00,000",Food Products,NA ,Tender,120.0,120.0,Mandi at Chakkar,175021.0,NA ,NA ,NA ,Shimla,No ,No,"2,360","Manaaging Director, H.P.Milkfed totu",Shimla,No,Hp State Cooperative Milk Producers Fed Ltd,433/PI-8/15-XXIII,2020_MPFL_40022_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,AOC,Finance,Pre BOQ summery,lal mani negi,05-Sep-2020 03:23 PM,finance_59089.pdf,BOQ Comparative Chart,Managing Director,Internal,"Sr.Manager(Plants), AC(FA), Manager(Acctts/DDO)",Preeti Arya,05-Sep-2020 02:58 PM,05-Sep-2020 03:00 PM,techsummary_59089.pdf (247.12 KB),Technical,Pre technical bid raw material of panjiri,Preeti Arya,05-Sep-2020 02:55 PM,technical_59089.pdf,1,175022,ARVIND ENTERPRISES,04-Sep-2020 04:40 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Sep-2020 02:56 PM,07-Sep-2020,"INR 25,000,000",120.0,Preeti Arya,11-Sep-2020 04:05 PM,Supplyorderofitem2ndqtr202021.pdf (3014.00 KB),Raw material of Panjiri,1.0,175613.0,S K FOOD PRODUCT,INR,"5,175",Managing Director,Internal,"Sr.Manager(P), AC(FA), Manager(Acctts/DDO)",Preeti Arya,07-Sep-2020 04:18 PM,finsummary_59089.pdf (316.02 KB),Hp State Cooperative Milk Producers Fed Ltd,2020_MPFL_40022_1,433/PI-8/15-XXIII,Raw material of Panjiri (2nd qtr 2020-21),AOC
,,,,,,,,,,,,,,,.pdf,Scan copy of EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,176273,Ashutosh Trading Corporation,05-Sep-2020 08:09 AM,Accepted-AOC,Lowest in Soyabean,11-Sep-2020 04:06 PM,,,,,,,,2.0,176153.0,GANPATI SALES CORPORATIONS,INR,"10,962",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scan copy of balance sheet /income tax returns of the last three year (As per Sr.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,176294,CHANDIGARH SWEETS LIMITED,04-Sep-2020 12:25 PM,Accepted-AOC,Lowest in Sugar(S-30),11-Sep-2020 04:06 PM,,,,,,,,3.0,176273.0,Ashutosh Trading Corporation,INR,"4,383",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"Scan copy of GST, PAN and TAN Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,176153,GANPATI SALES CORPORATIONS,05-Sep-2020 08:03 AM,Accepted-AOC,Lowest in Cotton seed R.Oil,11-Sep-2020 04:06 PM,,,,,,,,4.0,176294.0,CHANDIGARH SWEETS LIMITED,INR,"3,630.9",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scan copy of duly signed and stamp tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,176435,Mahalakshmi Roller Flour Mills Pvt Ltd,04-Sep-2020 05:51 PM,Rejected-Finance,"Rejected due to Highest rate in Black Gram, Ground Nut Seed, Soyabean",07-Sep-2020 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scan copy of testing report of the cotton seed refined oil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,175686,MANATH SUGAR TRADER,04-Sep-2020 02:34 PM,Rejected-Finance,Rejected due to Highest rate in Sugar and Black gram,07-Sep-2020 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ of raw material of Panjiri 2nd qtr 2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,176235,M/s Sanna Enterprises,04-Sep-2020 04:30 PM,Rejected-Finance,"Rejected due to Highest rate in Black Gram, Ground Nut Seed, Soyabean, Sugar(S-30) and Cotton Seed R.Oil",07-Sep-2020 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,176316,Shree Mahaluxmi Traders,05-Sep-2020 09:54 AM,Rejected-Finance,"Rejected due to Highest rate in Black Gram, Ground Nut Seed, Soyabean, Sugar(S-30) and Cotton Seed R.Oil",07-Sep-2020 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,175613,S K FOOD PRODUCT,04-Sep-2020 09:19 PM,Accepted-AOC,Lowest in Black gram and Ground Nut Seed,11-Sep-2020 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,175616,TIRUPATI TRADERS,04-Sep-2020 08:38 PM,Rejected-Finance,Rejected due to Highest rate in Soyabean,07-Sep-2020 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
