Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Tech bid opened,Sanjiv Kumar Agnihotri,24-Jul-2020 02:15 PM,technical_57121.pdf,1.0,168142.0,Mohammed Javed,18-Jul-2020 04:33 PM,Rejected-Technical,Non-responsive,24-Jul-2020 02:18 PM,Finance,Fin bid opened,Sanjiv Kumar Agnihotri,25-Jul-2020 06:08 PM,finance_57121.pdf,BOQ Comparative Chart,1.0,168082.0,Salochna Devi,INR,"3,001,539",04-Sep-2020,"INR 3,001,539",180.0,Sanjiv Kumar Agnihotri,04-Sep-2020 12:53 PM,AOC.pdf (1259.00 KB),Work Awarded,Er.S.K.Anihotri EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,25-Jul-2020 06:11 PM,finsummary_57121.pdf (531.40 KB),Er.S.K.Agnihotri EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,24-Jul-2020 02:18 PM,24-Jul-2020 04:00 PM,techsummary_57121.pdf (647.58 KB),PWD,2020_PWD_38673_1,No.PW/BGN/CBT-1/2020-3521-43 dated 30.06.2020Job6,Construction of Helth Sub Center Building at Bharmot in Distt. Una H.P,AOC,Construction of Helth Sub Center Building at Bharmot in Distt. Una H.P,"Construction of building portion, WS and SI, septic tank, soak pit and rainnwater harvesting tank",Please refer Tender documents. ,NA ,"20,47,876",Civil Works,NA ,Tender,120.0,180.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,500.0,Executive Engineer HPPWD Division Bangana,Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),08-Jul-2020 11:00 AM,20-Jul-2020 11:00 AM,08-Jul-2020 11:30 AM,18-Jul-2020 06:00 PM,NA ,NA ,08-Jul-2020 11:30 AM,18-Jul-2020 06:00 PM,24-Jul-2020 04:00 PM,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,DD - Demand Draft,"38,500",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,PWD,No.PW/BGN/CBT-1/2020-3521-43 dated 30.06.2020Job6,2020_PWD_38673_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,168088.0,Ram,17-Jul-2020 09:21 PM,Rejected-AOC,Higher Side,04-Sep-2020 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,168082.0,Salochna Devi,17-Jul-2020 08:24 PM,Accepted-AOC,Lowest,04-Sep-2020 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
