EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"23,100",No,fixed,,EE Dodrakawar,Rohru/Dodrakawar,Executive Engineer,Executive Engineer HPPWD Division Sarkaghat,1.0,DD - Demand Draft,500.0,EE Dodrakawar,Rohru/Dodrakawar,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,13-Feb-2020 09:00 AM,18-Feb-2020 11:30 AM,13-Feb-2020 09:00 AM,18-Feb-2020 11:00 AM,13-Feb-2020 09:00 AM ,18-Feb-2020 11:00 AM ,13-Feb-2020 09:00 AM,18-Feb-2020 11:00 AM,02-Mar-2020 11:00 AM,Construction of Dhar Badar road Km. 0/0 to 2/0,SH- Construction of 6.00Mtr span RCC span culvert with wing wall at RD 0/405) Under MMSY,Please refer Tender documents. ,NA ,"11,55,538",Civil Works,NA ,Rate Contract,90.0,60.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkagaht,No ,No,PWD,PW-SKT-CB-Tender/2019- 20 19012-15 dated 29.01,2020_PWD_34931_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,AOC,PWD,2020_PWD_34931_1,PW-SKT-CB-Tender/2019- 20 19012-15 dated 29.01,Construction of Dhar Badar road Km. 0/0 to 2/0,Executive Engineer,Internal,"Executive Engineer-Chairman, Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, Assistant Engineer-Member",Prithi Pal Singh,26-Feb-2020 10:44 AM,02-Mar-2020 11:00 AM,techsummary_51194.pdf (198.15 KB),"Executive Engineer-Chairman,",Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,01-Sep-2020 04:39 PM,finsummary_51194.pdf (137.81 KB),01-Sep-2020,"INR 1,155,538",90.0,Prithi Pal Singh,01-Sep-2020 04:59 PM,34931.PDF (137.00 KB),1.0,149938.0,Anil,18-Feb-2020 10:13 AM,Rejected-AOC,L3,01-Sep-2020 04:59 PM,Technical,Adimitted,Prithi Pal Singh,18-Feb-2020 03:45 PM,None,1.0,149890.0,Dinesh,INR,"1,579,925",Finance,Admitted,Prithi Pal Singh,02-Mar-2020 02:09 PM,None,BOQ Comparative Chart,AOC
,,,,,,,,2.0,FDR - Fixed Deposit,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,149890.0,Dinesh,18-Feb-2020 07:23 AM,Accepted-AOC,L1,01-Sep-2020 04:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,3.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,149932.0,"Vivek Patyal ,Govt. Contractor",18-Feb-2020 09:39 AM,Rejected-AOC,L2,01-Sep-2020 04:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
