Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er.S.K.Agnihotri EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,17-Aug-2020 06:55 PM,finsummary_57988.pdf (527.80 KB),04-Sep-2020,"INR 826,033",365.0,Sanjiv Kumar Agnihotri,04-Sep-2020 01:12 PM,AOC.pdf (531.00 KB),Work Awarded,PWD,2020_PWD_39295_1,No.BGN-4450-74 dated 20.07.2020Job2,Routine Maintenance of Lathiani to Kohdra Km 0/000 to 8/420 and UAM to Pirnigah via Lamlehri Km 0/0 to 8/130,Er.S.K.Agnihotri EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,13-Aug-2020 07:08 PM,14-Aug-2020 10:30 AM,techsummary_57988.pdf (524.99 KB),1.0,172495.0,Davinder kumar,INR,"826,033",Finance,Fin bid opened,Sanjiv Kumar Agnihotri,17-Aug-2020 06:52 PM,finance_57988.pdf,BOQ Comparative Chart,Technical,Tech bid opened,Sanjiv Kumar Agnihotri,13-Aug-2020 07:06 PM,technical_57988.pdf,1.0,172495.0,Davinder kumar,10-Aug-2020 05:11 PM,Accepted-AOC,Lowest,04-Sep-2020 01:13 PM,AOC,Routine Maintenance of Lathiani to Kohdra Km 0/000 to 8/420 and UAM to Pirnigah via Lamlehri Km 0/0 to 8/130,Output Performance Based Maintenance Contract,Please refer Tender documents. ,NA ,"8,33,932",Civil Works,NA ,Tender,120.0,365.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,"17,000",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,350.0,Executive Engineer HPPWD Division Bangana,Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),27-Jul-2020 11:00 AM,11-Aug-2020 11:00 AM,27-Jul-2020 11:30 AM,10-Aug-2020 06:00 PM,NA ,NA ,27-Jul-2020 11:30 AM,10-Aug-2020 06:00 PM,14-Aug-2020 10:30 AM,1.0,DD - Demand Draft,PWD,No.BGN-4450-74 dated 20.07.2020Job2,2020_PWD_39295_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,172477.0,Mehar Chand,10-Aug-2020 04:44 PM,Rejected-AOC,Higher side,04-Sep-2020 01:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
