S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,132298.0,Acoustic Media Solutions,INR,"1,749,365",Finance,Financial bid summary,Dalip singh Patial,19-Oct-2019 03:21 PM,finance_45500.pdf,BOQ Comparative Chart,Technical,technical bid summary,Dalip singh Patial,19-Oct-2019 02:49 PM,technical_45500.pdf,1.0,132298.0,Acoustic Media Solutions,29-Sep-2019 03:42 PM,Accepted-AOC,work awarded being L1 firm,01-Sep-2020 03:26 PM,14-Aug-2020,"INR 1,749,365",365.0,Dalip singh Patial,01-Sep-2020 03:25 PM,AOC.pdf (687.00 KB),work awarded to Acoustic Media Solutions being L1 firm,Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Jai Ram HDM Sh Kapil Soni Sr Asstt,Dalip singh Patial,19-Oct-2019 03:28 PM,finsummary_45500.pdf (471.25 KB),Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Jai Ram HDM Sh Kapil Soni Sr Asstt,Dalip singh Patial,19-Oct-2019 02:51 PM,19-Oct-2019 02:55 PM,techsummary_45500.pdf (390.41 KB),PWD,2019_PWD_31615_1,PW/MED/TA/NIT/ e-notice/19-20-4141-47 dt 05.09.19,"Construction of Sanskriti Sadan at Motipur, District Mandi H.P SH Providing Fire alarm system and addressable system therein",AOC,PWD,PW/MED/TA/NIT/ e-notice/19-20-4141-47 dt 05.09.19,2019_PWD_31615_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,20-Sep-2019 10:00 AM,30-Sep-2019 11:30 AM,20-Sep-2019 10:00 AM,30-Sep-2019 10:00 AM,NA ,NA ,20-Sep-2019 10:00 AM,30-Sep-2019 10:00 AM,19-Oct-2019 02:55 PM,"43,850",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and Earnest Money INDICATED IN SCHEDULE F,",1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,500.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Construction of Sanskriti Sadan at Motipur, District Mandi H.P SH Providing Fire alarm system and addressable system therein","Construction of Sanskriti Sadan at Motipur, District Mandi H.P SH Providing Fire alarm system and addressable system therein",Plz refer to bid document ,NA ,"24,20,667",Electrical Works,NA ,Tender,120.0,365.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,AOC
,,,,,,,,,,,,,,,,2.0,132750.0,Shanti Infotech,29-Sep-2019 04:44 PM,Rejected-Finance,rejected being L2 firm,19-Oct-2019 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM (Fire alarm) or auth. agency of approved OEM or firm authorized for executing spec. job,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,132738.0,TARUN FIRE SYSTEM,29-Sep-2019 02:13 PM,Rejected-Finance,rejected being L3 firm,19-Oct-2019 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
