Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Periodic Maintenance on Baggi to Fagoh road km.0/0 to 9/0 (SH-Providing and laying 25mm thick bituminous concrete single layer, V-Shape drain in km.2/0 to 4/0)","Periodic Maintenance on Baggi to Fagoh road km.0/0 to 9/0 (SH-Providing and laying 25mm thick bituminous concrete single layer, V-Shape drain in km.2/0 to 4/0)",Please refer Tender documents. ,NA ,"15,59,252",Civil Works,NA ,Rate Contract,120.0,60.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,500.0,EE Gohar,Gohar,Yes,1.0,DD - Demand Draft,"30,900",Yes,fixed,,EE Gohar,Gohar,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,08-Nov-2019 05:00 PM,22-Nov-2019 11:00 AM,08-Nov-2019 05:00 PM,21-Nov-2019 05:00 PM,NA ,NA ,08-Nov-2019 05:30 PM,21-Nov-2019 05:00 PM,23-Nov-2019 01:00 PM,PWD,11934-46 dated 05/11/2019,2019_PWD_32541_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EEHPPWD Gohar,"Executive Engineer, Gohar division HPPWD Gohar",1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC,Finance,Financial Summary,Ramesh Singh,15-Aug-2020 11:20 AM,finance_46790.pdf,BOQ Comparative Chart,1.0,136770.0,A.A. ENTREPRENEURS,INR,"2,204,520",1.0,136770.0,A.A. ENTREPRENEURS,19-Nov-2019 01:13 PM,Accepted-AOC,L-1,13-Sep-2020 02:50 PM,Technical,Technical Summary,Ramesh Singh,23-Nov-2019 10:33 AM,technical_46790.pdf,Er. Ramesh Singh,Internal,"Er.Chaman Lal AE, Kehar Singh Supdt, Rattan Lal Supdt, Pankaj Chandel HDM",Ramesh Singh,23-Nov-2019 10:55 AM,23-Nov-2019 01:00 PM,techsummary_46790.pdf (375.40 KB),PWD,2019_PWD_32541_1,11934-46 dated 05/11/2019,"Periodic Maintenance on Baggi to Fagoh road km.0/0 to 9/0 (SH-Providing and laying 25mm thick bituminous concrete single layer, V-Shape drain in km.2/0 to 4/0)",13-Sep-2020,"INR 1,559,252",60.0,Ramesh Singh,13-Sep-2020 02:49 PM,31.pdf (248.00 KB),AOC,Er. Ramesh Singh EE,Internal,"Chaman Lal AE, Kehar Singh Supdt, Pankaj Chandel HDM",Ramesh Singh,15-Aug-2020 12:35 PM,finsummary_46790.pdf (122.45 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,AOC,,,,,,,,,,,,2.0,137091.0,S.A. ASSOCIATES,20-Nov-2019 06:07 PM,Rejected-AOC,L-2,13-Sep-2020 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery,Paver tool, plant refer schedule F with reference to clause 18",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
