Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,pw.THD/CB/-tender2020-13977-86 Dt.29.1.2020,2020_PWD_35112_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HP PWD Theog Division,500.0,EE Theog,HP PWD Theog,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),17-Feb-2020 11:00 AM,29-Feb-2020 11:00 AM,17-Feb-2020 11:00 AM,28-Feb-2020 06:00 PM,NA ,NA ,17-Feb-2020 11:00 AM,28-Feb-2020 06:00 PM,03-Mar-2020 11:00 AM,"35,000",No,fixed,,EE Theog,HP PWD Theog,Annual maintenance of Naarail Kelvi Dharampur Kiartu Bagoti road km 0.0 to 28.0 SH P.L bituminous create 30 mm thick repair of pot holes applied plastic compound 2.5 mm including reflector sign glass bends in km 13.0 to 15.0 AMP 2021,Annual maintenance of Naarail Kelvi Dharampur Kiartu Bagoti road km 0.0 to 28.0 SH P.L bituminous create 30 mm thick repair of pot holes applied plastic compound 2.5 mm including reflector sign glass bends in km 13.0 to 15.0 AMP 2021,Please refer Tender documents. ,NA ,"18,19,600",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,1.0,DD - Demand Draft,AOC,Er Vijay Kumar Chauhan,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Vijay Kumar Chauhan,02-Mar-2020 05:25 PM,03-Mar-2020 11:00 AM,techsummary_51491.pdf (327.32 KB),PWD,2020_PWD_35112_1,pw.THD/CB/-tender2020-13977-86 Dt.29.1.2020,Annual maintenance of Naarail Kelvi Dharampur Kiartu Bagoti road km 0.0 to 28.0 SH P.L bituminous create 30 mm thick repair of pot holes applied plastic compound 2.5 mm including reflector sign glass bends in km 13.0 to 15.0 AMP 2021,25-Sep-2020,"INR 1,819,600",60.0,Vijay Kumar Chauhan,25-Sep-2020 11:26 AM,AOC.pdf (944.00 KB),Bids was awarded being L1 bidders,"Chief Engineer SZ H.P.PWD., Shimla",Internal,"Superintending Engineer, 4th Circle, Executive Engineer, Theog Division and others",Vijay Kumar Chauhan,25-Sep-2020 11:13 AM,finsummary_51491.pdf (417.29 KB),Finance,summary,Vijay Kumar Chauhan,03-Mar-2020 04:08 PM,finance_51491.pdf,BOQ Comparative Chart,1.0,151290.0,lov vij govt contractor,INR,"2,389,029",1.0,151290.0,lov vij govt contractor,27-Feb-2020 08:00 PM,Accepted-AOC,Accept,25-Sep-2020 11:28 AM,Technical,Summary,Vijay Kumar Chauhan,02-Mar-2020 03:09 PM,technical_51491.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall provide Asphalt Paver Strictly as per the direction of E-in-C with documentary proo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
