Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Engineer,HPSIDC Ltd. Shimla,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,"1,63,000",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Contractor Enlistment ( AS per NIT conditions),1.0,ICICI BANK,Construction of mini service building at Ind. Area Gagret Distt. Una (HP),Construction of mini service building at Ind. Area Gagret Distt. Una (HP),Please refer Tender documents. ,NA ,"81,45,910",Civil Works - Buildings,NA ,Tender,120.0,270.0,Gagret (Una),177201.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,HP SIDC Limited,Job No. 1,2019_SIDC_32335_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,26-Oct-2019 01:00 PM,14-Nov-2019 11:00 AM,26-Oct-2019 01:00 PM,13-Nov-2019 05:00 PM,NA ,NA ,26-Oct-2019 01:00 PM,13-Nov-2019 05:00 PM,21-Nov-2019 11:00 AM,AOC,Finance,Financial summary,Sushant Singh Negi,28-Nov-2019 05:21 PM,finance_46493.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,20-Nov-2019 04:34 PM,21-Nov-2019 11:00 AM,techsummary_46493.pdf (611.31 KB),Technical,Opening Summary,Sushant Singh Negi,15-Nov-2019 02:15 PM,technical_46493.pdf,1.0,136094.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,12-Nov-2019 11:16 PM,Rejected-Technical,"Inappropriate Contractor Class, hence not considered",20-Nov-2019 04:34 PM,17-Jan-2020,"INR 8,495,577",270.0,Sushant Singh Negi,11-Sep-2020 12:13 PM,miniservice.pdf (3309.00 KB),Award letter,1.0,136182.0,Suresh Pal,INR,"8,495,577",SE,Internal,"DM, AE(HQ), Dy. Manager(P),EE",Sushant Singh Negi,28-Nov-2019 05:25 PM,finsummary_46493.pdf (436.04 KB),HP SIDC Limited,2019_SIDC_32335_1,Job No. 1,Construction of mini service building at Ind. Area Gagret Distt. Una (HP),AOC
,,,,,,,,,,,,,,.pdf,Signed copy of agreement Form,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,135966.0,Rahul Verma Govt. Contractor,13-Nov-2019 04:23 PM,Rejected-Finance,Second lowest bidder,28-Nov-2019 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,136182.0,Suresh Pal,13-Nov-2019 03:51 PM,Accepted-AOC,Lowest bidder,11-Sep-2020 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of work done certificate as per NIT conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Detail of machinery and technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
